,layer,inital_r_bound,inital_eta_bound,inital_pass_pct,final_r_bound,final_eta_bound,final_pass_pct
0,2.0,0.01,0.1,0.6198347107438017,0.001,0.01,1.0
1,3.0,0.01,0.1,0.4628099173553719,0.001,0.01,1.0
2,4.0,0.01,0.1,0.2644628099173554,0.001,0.01,1.0
3,5.0,0.01,0.1,0.14049586776859505,0.001,0.01,0.9586776859504132
4,6.0,0.01,0.1,0.01652892561983471,0.0001,0.001,1.0
5,7.0,0.01,0.1,0.08264462809917356,0.0001,0.001,1.0
6,8.0,0.0,0.0,0.0,,,
