band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,421189300.0,217515372.64,728990594.5600026,567.5150736749431,196.3088771539461,1039.5421337234582,45000.0,0.16,1.0,0.008846748116027696,0.0063984224173442
5,256399040.0,107458476.96,604408531.2000014,1477.1004426341938,140.56310133516558,3171.01665028677,117000.0,0.17,1.3,0.01059560069542309,0.003969010248311788
8,94868930.0,40432556.82,269010681.2800008,1959.0045230504163,140.7300653211494,4604.445353823784,189000.0,0.18,1.5,0.009551045993737906,0.003123040397909581
11,42741930.0,16364338.66,123588229.4400001,2502.583590607967,133.89415385817534,4663.584286061421,495000.0,0.18,1.2,0.004539248803620999,0.0019299803152697053
14,15121418.0,6408815.8950000005,42255503.960000016,2236.7607409278417,106.83933131874304,4308.858979599251,1134000.0,0.19,1.4,0.00576770170835339,0.0012751894232635628
17,6578937.5,2961992.06375,17241781.42,1863.9362125936716,95.43343660888776,3828.629412824856,2574000.0,0.19,1.0,0.007003732668262486,0.0008464353782179778
20,3620059.8,1542817.636875,14403666.305000002,5286.257357753599,82.38473072813537,5972.208103161303,5967000.0,0.2,1.1,0.007274019724060082,0.0005559445407404772
23,3205381.5,574030.5896875,29284526.260000005,27192.082645797127,81.77819418770704,9130.18389511831,13887000.0,0.2,0.6,0.00887412515004632,0.0003644288842482448
26,2340697.0,151495.303046875,21622056.430000003,39856.977893427735,82.39868404444734,9684.787882090584,31968000.0,0.21,0.3,0.010233569427120396,0.0002401951053511448
29,106990.04,19497.7558984375,898940.5721875025,24151.662765955,91.3546577051745,9016.351192562292,73701000.0,0.23,-0.1,0.015815230029769336,0.00015819341995114793
