layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
0.31622777,10000.0,0.7,-0.43,0.0069647817646017,0.7,-0.43,0.0069647817646017,37968
0.42813324,10000.0,0.76,-0.3,0.0060049983277715,0.76,-0.3,0.0060049983277715,50625
0.5796394,10000.0,0.7,-0.4,0.0075726896932643,0.7,-0.4,0.0075726896932643,33750
0.78475997,10000.0,0.75,-0.3,0.0071482488661651,0.75,-0.3,0.0071482488661651,37968
1.0624678,10000.0,0.77,-0.3,0.0048156325990357,0.77,-0.3,0.0048156325990357,75937
1.4384499,10000.0,0.7,-0.44,0.0101123304398725,0.7,-0.44,0.0101123304398725,18984
1.947483,10000.0,0.78,-0.3,0.0088889676577746,0.78,-0.3,0.0088889676577746,22500
2.6366509,10000.0,0.7,-0.41,0.0066788120279179,0.7,-0.41,0.0066788120279179,42714
3.5696988,10000.0,0.76,-0.3,0.0051245138877251,0.76,-0.3,0.0051245138877251,72079
4.8329302,10000.0,0.77,-0.3,0.0110957387478493,0.77,-0.3,0.0110957387478493,15000
6.5431891,10000.0,0.8,-0.23,0.0065758500148029,0.8,-0.23,0.0065758500148029,42714
8.8586679,10000.0,0.7,-0.4,0.0102248467519118,0.7,-0.4,0.0102248467519118,16875
11.993539,10000.0,0.76,-0.3,0.0067857119055954,0.76,-0.3,0.0067857119055954,40543
16.237767,10000.0,0.71,-0.4,0.0051581666078948,0.71,-0.4,0.0051581666078948,72079
21.983926,10000.0,0.76,-0.3,0.0056571815586731,0.76,-0.3,0.0056571815586731,56952
29.763514,10000.0,0.7,-0.41,0.0057737199566971,0.7,-0.41,0.0057737199566971,56952
40.296113,10000.0,0.7,-0.41,0.0065665928897202,0.7,-0.41,0.0065665928897202,42714
54.555948,10000.0,0.72,-0.4,0.0064117272474843,0.72,-0.4,0.0064117272474843,42714
73.861998,10000.0,0.7,-0.4,0.0066460562820489,0.7,-0.4,0.0066460562820489,42714
100.0,10000.0,0.72,-0.4,0.0044503513922504,0.72,-0.4,0.0044503513922504,96106
