layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,9000.0,0.21,0.3,0.0130555094560895,0.2053,0.18,0.010381734798793785,17085
3,36000.0,0.22,-0.1,0.0122024790703619,0.2195,-0.094,0.010630152617947752,17085
4,144000.0,0.24,-0.3,0.0091400217943592,0.2388,-0.309,0.00853309078565304,25627
5,576000.0,0.28,-0.3,0.0079054679931723,0.2773,-0.326,0.007389538091831155,34171
6,2304000.0,0.34,-0.2,0.0075374646563298,0.328,-0.274,0.005318483158090914,68343
7,9216000.0,0.38,-0.3,0.0045249353784214,0.3784,-0.305,0.004259620706075884,102514
8,36864000.0,0.44,-0.4,0.0056975743524544,0.4281,-0.438,0.004014923868808973,115327
9,147456000.0,0.58,-0.6,0.0075690441856074,0.5681,-0.613,0.006502485687999141,45562
10,589824000.0,1.15,-1.0,0.026809999999989,1.1418,-1.013,0.026809999999987844,2530
