layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,179850.6633188669,104860.60258390589,313803.09777321003,501.3820305580216,36.68115776909746,756.9423809087922,9000.0,0.21,0.3,0.0130555094560895,0.014296961166644,0.021657323226213,0.2,0.2053,0.18,0.0103817347987937,0.2057,0.19,0.010596827410775,0.2053,0.18,0.0103817347987937,17085,161.315,0.0547309,7.13896e-24,142.176,0.0286576,7.44211e-07,111.133,0.0284363,9.34468e-07,0.28458336
3,48278.00458385656,29689.330645834736,75753.01742185012,352.4905488674084,90.2647909687676,561.8883690126444,36000.0,0.22,-0.1,0.0122024790703619,0.0071531615485336,0.0268194769882768,0.23,0.2195,-0.094,0.0106301526179477,0.2195,-0.094,0.0106301526179477,0.2195,-0.094,0.0106301526179477,17085,64.3876,0.0579646,1.396569999999999e-105,57.1214,0.0318676,3.3851400000000006e-32,45.0207,0.0293446,2.2985800000000004e-27,0.00058138095
4,13505.89840498018,6427.192128519484,29259.093412657458,1066.3427546160233,112.37999223477472,2700.45921783193,144000.0,0.24,-0.3,0.0091400217943592,0.0035777446059643,0.0163131907136612,0.26,0.2388,-0.309,0.008533090785653,0.2388,-0.309,0.008533090785653,0.2388,-0.309,0.008533090785653,25627,26.4356,0.0549621,0.0,23.5373,0.029317,5.8929699999999965e-108,18.3531,0.0263353,3.4149799999999983e-87,1.552846e-09
5,3324.956134645921,1098.1461108097628,15512.152577834926,6607.1751582440575,86.60464954790152,7123.889070381528,576000.0,0.28,-0.3,0.0079054679931723,0.0017891624583277,0.0155938038842394,0.31,0.2773,-0.326,0.0073895380918311,0.2773,-0.326,0.0073895380918311,0.2773,-0.326,0.0073895380918311,34171,12.2644,0.0480183,0.0,10.9381,0.0228953,1.0127599999999997e-262,8.58043,0.0185308,3.0327699999999986e-172,9.5313801e-28
6,902.7374838122456,217.9587390699942,6909.072731143793,18939.147804863424,76.74327879920527,8727.643775722978,2304000.0,0.34,-0.2,0.0075374646563298,0.0008946536675937,0.0099585609403299,0.36,0.328,-0.274,0.0053184831580909,0.329,-0.265,0.0054151599632115,0.328,-0.274,0.0053184831580909,68343,6.73232,0.0418885,0.0,5.9728,0.0162817,0.0,4.73335,0.0136031,0.0,4.922671799999999e-57
7,249.8887868993452,58.95574567942735,1795.4226410210715,19071.879951377738,51.215464685274426,8606.341394292107,9216000.0,0.38,-0.3,0.0045249353784214,0.0004473449308468,0.0105886422181777,0.42,0.3784,-0.305,0.0042596207060758,0.3784,-0.305,0.0042596207060758,0.3784,-0.305,0.0042596207060758,102514,4.05346,0.0401154,0.0,3.58846,0.0139129,0.0,2.85248,0.0131484,0.0,1.1367173999999994e-145
8,57.43217883256502,22.249527376592106,277.4074709569508,8527.045747119844,61.02367388516839,6916.660564033902,36864000.0,0.44,-0.4,0.0056975743524544,0.0002236769881161,0.014584634062503,0.52,0.4281,-0.438,0.0040149238688089,0.429,-0.434,0.0040921672444426,0.4281,-0.438,0.0040149238688089,115327,2.4954,0.0422273,0.0,2.20081,0.0152938,0.0,1.75755,0.0151975,0.0,0.0
9,14.41228242037841,5.902646487024241,62.396598437573104,6442.510618430864,77.11660544083873,6425.334046257936,147456000.0,0.58,-0.6,0.0075690441856074,0.000111839624535,0.0223116668438675,0.86,0.5681,-0.613,0.0065024856879991,0.569,-0.611,0.0065517914425756,0.5681,-0.613,0.0065024856879991,45562,1.21477,0.0422765,0.0,1.07364,0.0159601,0.0,0.85509,0.0140414,0.0,0.0
10,2.162876334794684,0.8114847619531236,9.683872386997976,7078.996215645323,80.46081350989233,6695.153257214179,589824000.0,1.15,-1.0,0.026809999999989,5.5920094864633584e-05,0.1178774821187611,6.2,1.1418,-1.013,0.0268099999999878,1.142,-1.013,0.0268099999999878,1.1418,-1.013,0.0268099999999878,2530,0.426317,0.043705,0.0,0.337135,0.02681,0.0,0.302689,0.02681,0.0,0.0
