layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,n_pval_0.05
2,179850.6633188669,104860.60258390589,313803.09777321003,501.3820305580216,36.68115776909746,756.9423809087922,9000.0,0.21,0.3,0.0130555094560895,0.014296961166644,0.021657323226213,0.2,0.2057,0.19,0.010596827410775056,0.206,0.2,0.011132974300663123,0.2057,0.19,0.010596827410775056,17085
3,48278.00458385656,29689.330645834736,75753.01742185012,352.4905488674084,90.2647909687676,561.8883690126444,36000.0,0.22,-0.1,0.0122024790703619,0.0071531615485336,0.0268194769882768,0.23,0.2195,-0.094,0.010630152617947752,0.219,-0.1,0.011121181437392047,0.2195,-0.094,0.010630152617947752,17085
4,13505.89840498018,6427.192128519484,29259.093412657458,1066.3427546160233,112.37999223477472,2700.45921783193,144000.0,0.24,-0.3,0.0091400217943592,0.0035777446059643,0.0163131907136612,0.26,0.2388,-0.309,0.00853309078565304,0.239,-0.31,0.008864049839707122,0.2388,-0.309,0.00853309078565304,25627
5,3324.956134645921,1098.1461108097628,15512.152577834926,6607.1751582440575,86.60464954790152,7123.889070381528,576000.0,0.28,-0.3,0.0079054679931723,0.0017891624583277,0.0155938038842394,0.31,0.2773,-0.326,0.007389538091831155,0.278,-0.32,0.007540773805641443,0.2773,-0.326,0.007389538091831155,34171
6,902.7374838122456,217.9587390699942,6909.072731143793,18939.147804863424,76.74327879920527,8727.643775722978,2304000.0,0.34,-0.2,0.0075374646563298,0.0008946536675937,0.0099585609403299,0.36,0.329,-0.265,0.005415159963211513,0.33,-0.26,0.005591745437246387,0.329,-0.265,0.005415159963211513,60750
7,249.8887868993452,58.95574567942735,1795.4226410210715,19071.879951377738,51.215464685274426,8606.341394292107,9216000.0,0.38,-0.3,0.0045249353784214,0.0004473449308468,0.0105886422181777,0.42,0.3784,-0.305,0.004259620706075884,0.379,-0.3,0.004435680076549597,0.3784,-0.305,0.004259620706075884,102514
8,57.43217883256502,22.249527376592106,277.4074709569508,8527.045747119844,61.02367388516839,6916.660564033902,36864000.0,0.44,-0.4,0.0056975743524544,0.0002236769881161,0.014584634062503,0.52,0.429,-0.434,0.004092167244442613,0.43,-0.43,0.004198443588326106,0.429,-0.434,0.004092167244442613,108000
9,14.41228242037841,5.902646487024241,62.396598437573104,6442.510618430864,77.11660544083873,6425.334046257936,147456000.0,0.58,-0.6,0.0075690441856074,0.000111839624535,0.0223116668438675,0.86,0.569,-0.611,0.00655179144257566,0.57,-0.61,0.006643047340265683,0.569,-0.611,0.00655179144257566,43246
10,2.162876334794684,0.8114847619531236,9.683872386997976,7078.996215645323,80.46081350989233,6695.153257214179,589824000.0,1.15,-1.0,0.026809999999989,5.5920094864633584e-05,0.1178774821187611,6.2,1.142,-1.013,0.026809999999987844,1.143,-1.01,0.026809999999988177,1.142,-1.013,0.026809999999987844,2530
