band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,443144800.0,204059650.0,1172902700.0,1951.2109,93.38999,3809.454,45000.0,0.16,1.1,0.01179972561293785,0.0063984224173442
5,242532050.0,116765060.0,637678660.0,1732.7407,102.45985,3959.4731,117000.0,0.17,1.5,0.011200858449001594,0.003969010248311788
8,75098780.0,41355424.0,165232860.0,997.55035,76.81663,2699.5813,189000.0,0.17,1.1,0.006730527083013027,0.003123040397909581
11,66805550.0,19091832.0,428698660.0,13976.008,62.87747,8349.733,495000.0,0.18,1.4,0.006411353148948862,0.0019299803152697053
14,19646696.0,9259367.0,74271870.0,4449.843,48.65339,6157.9995,1134000.0,0.19,1.7,0.006925651393267285,0.0012751894232635628
17,9104094.0,4527121.0,34048764.0,4455.6323,42.4029,6093.364,2574000.0,0.19,1.4,0.008478270359542434,0.0008464353782179778
20,4104359.8,2023370.9,13520171.0,3024.8623,61.90266,4879.5195,5967000.0,0.19,0.9,0.005826934327911815,0.0005559445407404772
23,1838955.8,676133.8,10533605.0,11453.02,71.84764,7815.2046,13887000.0,0.21,1.1,0.010091448962690097,0.0003644288842482448
26,1165549.6,200796.17,11037528.0,27543.828,79.598564,9199.39,31968000.0,0.2,0.2,0.007969563568386129,0.0002401951053511448
29,389424.38,25620.342,3816463.8,38067.582,100.88522,9678.418,73701000.0,0.23,0.1,0.010788157468500592,0.00015819341995114793
32,12687.414,2705.703,78691.86,13939.495,95.46198,8480.346,59634000.0,0.29,0.4,0.010367455894615407,0.00017586420018087293
