band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.1,0.0117997256129378,0.16,1.156,0.005890352966071377,50625
5,117000.0,0.17,1.5,0.0112008584490015,0.1687,1.393,0.0076939644216585164,32905
8,189000.0,0.17,1.1,0.006730527083013,0.1708,1.158,0.004657671990320189,89700
11,495000.0,0.18,1.4,0.0064113531489488,0.1777,1.296,0.003857599963433267,123750
14,1134000.0,0.19,1.7,0.0069256513932672,0.1878,1.617,0.004343552959733987,100912
17,2574000.0,0.19,1.4,0.0084782703595424,0.1888,1.298,0.003228165736146235,180984
20,5967000.0,0.19,0.9,0.0058269343279118,0.1921,0.981,0.0031296498173895015,186468
23,13887000.0,0.21,1.1,0.01009144896269,0.2068,1.033,0.0059612955845042,54246
26,31968000.0,0.2,0.2,0.0079695635683861,0.2042,0.31,0.0058515499785364855,52680
29,73701000.0,0.23,0.1,0.0107881574685005,0.2254,-1.7347e-18,0.007973209553635785,30361
