band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,iter2_r,iter2_eta,kstest_stat_iter2,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,443144800.0,204059644.56,1172902029.440001,1951.210974835844,93.38998713156292,3809.45340524855,45000.0,0.16,1.1,0.0117997256129378,0.0063984224173442,0.0645793305692897,0.14,0.16,1.156,0.0058903529660713,0.16,1.156,0.0058903529660713,0.16,1.156,0.0058903529660713,50625,6384.96,0.0440281,3.0748399999999994e-76,5694.05,0.0186368,5.23269e-14,4473.43,0.0157205,4.32899e-10,0.087726
5,242532050.0,116765057.72,637678290.2400006,1732.740711765486,102.4598432574532,3959.468650344507,117000.0,0.17,1.5,0.0112008584490015,0.0039690102483117,0.0266397976123069,0.14,0.1687,1.393,0.0076939644216585,0.1688,1.4,0.0077192562344753,0.1687,1.393,0.0076939644216585,32905,4468.05,0.0411729,8.894999999999996e-173,3981.76,0.0162456,2.9785600000000005e-27,3137.87,0.0118778,9.11401e-15,1.9179e-06
8,75098780.0,41355422.76,165232861.68,997.550337764297,76.81662778601358,2699.5812128775365,189000.0,0.17,1.1,0.006730527083013,0.0031230403979095,0.0733981799190883,0.15,0.1708,1.158,0.0046576719903201,0.1709,1.164,0.0046819896754843,0.1708,1.158,0.0046576719903201,89700,3071.46,0.0371802,1.9353999999999998e-227,2724.41,0.0128825,1.12714e-27,2168.59,0.00941919,5.41098e-15,0.00054742
11,66805550.0,19091831.78,428698420.8000004,13976.007954256174,62.8774692717801,8349.733185178333,495000.0,0.18,1.4,0.0064113531489488,0.0019299803152697,0.0393617667639842,0.15,0.1777,1.296,0.0038575999634332,0.1778,1.302,0.0038616956195848,0.1777,1.296,0.0038575999634332,123750,2326.54,0.035271,0.0,2054.27,0.010895,1.82332e-51,1646.1,0.00701738,1.3378400000000001e-21,7.9754e-07
14,19646696.0,9259366.985,74271243.64000104,4449.842882787153,48.65338665782991,6157.999253858759,1134000.0,0.19,1.7,0.0069256513932672,0.0012751894232635,0.0453385912369493,0.15,0.1878,1.617,0.0043435529597339,0.1879,1.624,0.0043600246301143,0.1878,1.617,0.0043435529597339,100912,1744.48,0.0340964,0.0,1540.84,0.00995307,5.278279999999997e-98,1238.78,0.00625294,6.126840000000001e-39,5.2083e-19
17,9104094.0,4527121.1925,34048684.16000013,4455.632699813031,42.402900456547954,6093.362016428053,2574000.0,0.19,1.4,0.0084782703595424,0.0008464353782179,0.0448118730930892,0.16,0.1888,1.298,0.0032281657361462,0.1889,1.303,0.0032612152781195,0.1888,1.298,0.0032281657361462,180984,1243.78,0.0348773,0.0,1098.81,0.00988262,8.733879999999998e-219,883.39,0.00747346,2.670039999999999e-125,1.0029000000000002e-23
20,4104359.8,2023370.86,13520167.655000009,3024.862169070585,61.90266307513152,4879.518751003925,5967000.0,0.19,0.9,0.0058269343279118,0.0005559445407404,0.0558761340252321,0.17,0.1921,0.981,0.0031296498173895,0.1921,0.981,0.0031296498173895,0.1921,0.981,0.0031296498173895,186468,768.444,0.0371942,0.0,677.348,0.0116723,0.0,545.375,0.00892261,0.0,3.430999999999999e-51
23,1838955.8,676133.7943750002,10533508.79500016,11453.019887860228,71.84764425563748,7815.204602676093,13887000.0,0.21,1.1,0.01009144896269,0.0003644288842482,0.0432484080671302,0.18,0.2068,1.033,0.0059612955845042,0.207,1.04,0.0060577167921673,0.2068,1.033,0.0059612955845042,54246,418.349,0.0378003,0.0,369.15,0.013563,0.0,295.953,0.00794078,0.0,0.0
26,1165549.6,200796.1753125,11037441.305000143,27543.82942913461,79.59856398311369,9199.390263212908,31968000.0,0.2,0.2,0.0079695635683861,0.0002401951053511,0.0211757990564359,0.19,0.2042,0.31,0.0058515499785364,0.204,0.3,0.0065584544317738,0.2042,0.31,0.0058515499785364,52680,202.358,0.0442174,0.0,179.352,0.0189798,0.0,142.552,0.0143434,0.0,0.0
29,389424.38,25620.342011718752,3816462.985000001,38067.579156078704,100.88522374661218,9678.418391288516,73701000.0,0.23,0.1,0.0107881574685005,0.0001581934199511,0.0195297355319353,0.23,0.2254,-1.7347e-18,0.0079732095536357,0.226,0.01,0.0082366577634169,0.2254,-1.7347e-18,0.0079732095536357,30361,64.0303,0.049811,0.0,56.768,0.0246863,0.0,45.1236,0.0193271,0.0,0.0
