layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,234345.22,136458.4,357429.47,304.98373,188.34438,416.0099,9000.0,0.2,-0.03,0.0170021928420184,0.014296961166644,0.0238251819276864,0.2,0.2,-0.028,0.0169547516033546,0.2,-0.028,0.0169547516033546,6750,131.058,0.0580407,8.526880000000001e-27,115.256,0.0307172,8.21832e-08,91.2502,0.0285043,8.71497e-07,0.011190338
3,82621.54,35138.477,155238.58,830.4339,212.33417,1294.8561,36000.0,0.22,-0.2,0.0107799726565347,0.0071531615485336,0.0133613650476562,0.23,0.219,-0.2,0.0089657870672821,0.219,-0.2,0.0089657870672821,22780,54.1599,0.0559435,2.2635899999999986e-98,48.0443,0.0297346,4.3712e-28,37.704,0.0269387,3.9614e-23,0.0060928329
4,21300.51,6771.768,69806.59,3712.7847,209.54367,5653.699,144000.0,0.25,-0.3,0.0141601151593812,0.0035777446059643,0.0181794209603078,0.27,0.242,-0.35,0.0093991380353419,0.242,-0.35,0.0093991380353419,20250,22.9007,0.054513,0.0,20.4262,0.0292434,2.0400799999999988e-107,15.9522,0.0248693,8.424529999999999e-78,1.7715298e-11
5,3460.3955,1095.6989,13531.442,4716.2754,158.082,6510.982,576000.0,0.29,-0.3,0.0101835322773617,0.0017891624583277,0.016541691273461,0.32,0.281,-0.38,0.0084674604877379,0.281,-0.38,0.0084674604877379,27000,10.6215,0.0489376,0.0,9.48429,0.0239519,1.7162499999999997e-287,7.40645,0.0194146,5.017959999999998e-189,2.6733044e-36
6,717.88367,207.42117,3212.5789,6683.643,142.81105,7117.0117,2304000.0,0.34,-0.3,0.008784680669608,0.0008946536675937,0.0122299411687193,0.38,0.337,-0.34,0.0063548631232589,0.337,-0.34,0.0063548631232589,45562,5.62219,0.0426838,0.0,4.99954,0.017551,0.0,3.93548,0.0139996,0.0,3.0268315999999987e-81
7,143.0202,45.5252,627.07385,6948.074,112.3845,6948.311,9216000.0,0.42,-0.3,0.0061402564770105,0.0004473449308468,0.0115237449896734,0.47,0.41,-0.33,0.0048683201271385,0.41,-0.33,0.0048683201271385,81000,3.14671,0.0396334,0.0,2.78355,0.0132955,0.0,2.22455,0.0130235,0.0,3.7912665999999987e-190
8,45.61798,16.21293,218.45058,8317.633,90.40842,7033.108,36864000.0,0.48,-0.4,0.0063395840627188,0.0002236769881161,0.0158252551523382,0.58,0.471,-0.44,0.0050330500097569,0.471,-0.44,0.0050330500097569,72000,2.03001,0.0418287,0.0,1.78982,0.0148724,0.0,1.43253,0.0148975,0.0,0.0
9,11.465115,4.405262,65.522224,9376.203,82.9198,7437.7134,147456000.0,0.6,-0.71,0.0070218335998082,0.000111839624535,0.0261636946911748,1.08,0.6,-0.705,0.0063815202182924,0.6,-0.705,0.0063815202182924,45562,1.00856,0.0438068,0.0,0.891666,0.0173179,0.0,0.708001,0.0159436,0.0,0.0
10,1.4902868,0.61220074,6.772253,6488.0225,81.053375,6546.302,589824000.0,6.0,-1.09,0.0265099999999658,5.5920094864633584e-05,0.1490062920826015,6.2,6.6,-1.091,0.0265099999999569,6.6,-1.091,0.0265099999999569,2530,0.352732,0.0469862,0.0,0.290207,0.02651,0.0,0.258269,0.02651,0.0,0.0
