band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,210803701.223256,203931381.25156832,217780641.6075749,5.9381526863650524,5.0644116143876845,6.961089657515133,47614.0,0.16,1.6,0.013476747368815267,0.0062204080553092435
5,84666648.4553655,82277141.10685883,87140324.7722664,10.238720627383566,8.741003023144815,12.021282406406543,102030.0,0.16,1.1,0.013760654294415253,0.004250109478285763
8,24417996.541003477,23723452.53343505,25141267.401122984,10.654582350496538,8.485844925674453,14.08020182866054,326496.0,0.17,1.2,0.013523619843459067,0.002376287493954915
11,6095848.103341284,5934529.280145222,6261906.3055011565,9.481828182725511,7.939620945687467,11.507580730370494,904666.0,0.17,0.6,0.012329056926947135,0.0014276807376072355
14,1795078.6425420318,1744169.3597044551,1849944.8061378296,11.12309342952802,8.074007753599941,16.06377813525658,2727602.0,0.18,0.6,0.0113105127020664,0.0008222587962986603
17,441578.1911981668,422483.1307718425,468700.861738554,38.040094026682574,9.508811071857844,106.76554737011628,8298440.0,0.19,0.4,0.009051543978436938,0.00047142713729943133
20,73193.04877580097,67237.39849039433,83947.5872793142,212.9470039151084,10.3710024206935,573.6532267019455,25140192.0,0.23,1.0,0.004750703676875134,0.0002708547073073513
23,17417.81822529807,16711.22319509401,18509.5935005562,38.07674364086107,6.192982543079737,112.3672623125434,65734528.0,0.26,1.3,0.005127994944682079,0.00016750507336682816
