band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,1876042100.0,240482510.0,5589569500.0,3587.316,309.63705,6909.3687,45000.0,0.16,1.0,0.0083100692800929,0.0063984224173442,0.041446928032186,0.14,0.158,0.91,0.0053441923466701,0.158,0.91,0.0053441923466701,67500,5530.91,0.0454784,2.564679999999999e-81,4911.86,0.0200379,3.981e-16,3891.33,0.0157517,3.96272e-10,0.15239225
5,1858724100.0,121153020.0,11724737000.0,16914.17,224.28973,9420.516,117000.0,0.17,1.3,0.0109932628325892,0.0039690102483117,0.0434000288361037,0.14,0.168,1.2,0.008958180581407,0.168,1.2,0.008958180581407,21937,3812.07,0.04453,4.846919999999998e-202,3385.85,0.0197822,3.33035e-40,2663.11,0.0149209,4.6832600000000004e-23,1.3899817e-08
8,581904400.0,48291804.0,3909304600.0,18817.588,264.53467,9353.863,189000.0,0.18,1.5,0.0099463386154285,0.0031230403979095,0.0455598576512084,0.15,0.178,1.42,0.0076749473221436,0.178,1.42,0.0076749473221436,29898,2552.48,0.040214,5.1869099999999986e-266,2260.5,0.0149464,4.1848700000000004e-37,1792.3,0.012566,2.3681500000000003e-26,4.2528762e-10
11,222086200.0,20019076.0,1202936000.0,9945.353,226.31027,8974.254,495000.0,0.18,1.2,0.0052596939226164,0.0019299803152697,0.0344005733487593,0.15,0.178,1.11,0.0041626728981556,0.178,1.11,0.0041626728981556,104413,1841.02,0.038885,0.0,1633.46,0.0132762,3.25143e-76,1300.34,0.0112183,1.53738e-54,7.0740081e-08
14,76867780.0,8024386.0,379660380.0,9404.7705,176.88164,8779.434,1134000.0,0.19,1.4,0.0062221100601007,0.0012751894232635,0.044068145643469,0.16,0.189,1.33,0.0047841879105038,0.189,1.33,0.0047841879105038,79734,1277.67,0.0387657,0.0,1126.31,0.0122317,8.515899999999996e-148,906.795,0.0116702,1.4116499999999993e-134,5.688241900000001e-23
17,39563024.0,3834162.2,238763150.0,12449.052,150.09442,9078.725,2574000.0,0.19,1.0,0.0064581244748578,0.0008464353782179,0.034180937206993,0.16,0.187,0.9,0.0027324324178443,0.187,0.9,0.0027324324178443,241312,907.705,0.0395287,0.0,799.716,0.013176,0.0,643.27,0.0116893,,4.052532e-17
20,11133688.0,2057098.8,53574584.0,8630.072,118.14964,8104.7036,5967000.0,0.19,0.7,0.0061515034165581,0.0005559445407404,0.028168072520366,0.17,0.188,0.65,0.0039461285572564,0.188,0.65,0.0039461285572564,117997,641.525,0.0426178,0.0,566.722,0.0167166,0.0,452.672,0.0133251,0.0,3.913723699999998e-81
23,4838087.5,738155.9,33677428.0,16181.355,101.86641,8948.997,13887000.0,0.19,0.3,0.0100180376725071,0.0003644288842482,0.0217343640287241,0.18,0.192,0.38,0.0059661317062337,0.192,0.38,0.0059661317062337,54246,373.097,0.0454167,0.0,330.58,0.0200694,0.0,262.668,0.0155121,0.0,0.0
26,1872608.2,178380.27,18100620.0,34272.58,90.40096,9587.513,31968000.0,0.21,0.3,0.0128712420753727,0.0002401951053511,0.0160419052115929,0.2,0.206,0.22,0.0098205199934262,0.206,0.22,0.0098205199934262,19753,164.06,0.0510343,0.0,146.311,0.0259983,0.0,114.78,0.0211153,0.0,0.0
29,152766.14,22231.807,1074122.4,18183.148,100.81725,9029.527,73701000.0,0.21,-0.4,0.0157761416754094,0.0001581934199511,0.0265853464492954,0.24,0.215,-0.32,0.0113155144525924,0.215,-0.32,0.0113155144525924,15180,49.0717,0.0581662,0.0,43.9344,0.0338562,0.0,34.4524,0.0278372,0.0,0.0
32,10921.369,2385.951,62830.105,12942.957,90.52619,8327.545,59634000.0,0.27,-0.2,0.0151597725486764,0.0001758642001808,0.0227030448528584,0.28,0.265,-0.24,0.0132348950754758,0.265,-0.24,0.0132348950754758,10918,17.8973,0.0492577,0.0,15.9547,0.0272824,0.0,12.7321,0.0186644,0.0,0.0
