band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,31800.0,0.29,7.5,0.004659895738945,0.29,7.49,0.0043305270321885025,101871
5,41340.0,0.29,6.1,0.0032412993637708,0.29,6.09,0.002839422252387258,235443
8,66780.0,0.31,6.9,0.003290474847042,0.31,6.9,0.0032904748470420353,169036
11,104940.0,0.31,5.6,0.003336576862059,0.311,5.67,0.0023282254371208566,354172
14,162180.0,0.34,7.0,0.0028282087059341,0.339,6.9,0.0028194530782438276,243270
17,257580.0,0.34,5.5,0.0014878686981455,0.339,5.41,0.00138717729491801,977998
20,381600.0,0.35,4.7,0.0009142130702565,0.35,4.7,0.0009142130702565754,2173330
23,610560.0,0.37,4.3,0.0021684655749866,0.369,4.26,0.0015469386253499917,772740
26,973080.0,0.39,3.4,0.0017241389546912,0.39,3.42,0.0009875166271209324,1847331
29,1376940.0,0.43,2.6,0.0020862380669265,0.428,2.53,0.001861150374735776,516352
32,419760.0,0.62,2.5,0.0019596527303885,0.624,2.58,0.0016836593912770148,629640
