band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,166042.38,157998.03046875,174433.438828125,1.6213518440011452,1.1836830818584758,2.1597780262021318,31800.0,0.29,7.5,0.004659895738945097,0.007610577267092261
5,88873.2,84620.583671875,93301.8328515625,1.5568817105375024,1.03486693981929,2.247035734747494,41340.0,0.29,6.1,0.0032412993637708776,0.006675487131142218
8,48739.906,46426.74337890625,51128.36724609375,1.54157428346236,1.0658181372194286,2.1755715698050437,66780.0,0.31,6.9,0.0032904748470420353,0.005252925654717587
11,27771.78,26384.78658203125,29233.971728515626,1.9223003766315292,1.152667280306034,3.3220059393245784,104940.0,0.31,5.6,0.0033365768620590153,0.004190789733660874
14,15175.327,14446.182202148437,15943.683618164065,1.705794818261413,1.083742452596842,3.005844385384606,162180.0,0.34,7.0,0.0028282087059341987,0.0033713207320740964
17,8489.967,8074.9392578125,8925.657485351563,1.7715885267107243,1.1085786338671413,3.490514084967369,257580.0,0.34,5.5,0.0014878686981455447,0.0026752851133031844
20,4270.1167,4059.781999511719,4497.9746875,1.9561996461227336,1.1437148451988162,5.900500633457273,381600.0,0.35,4.7,0.0009142130702565754,0.002198066092435259
23,2001.448,1901.4484185791016,2108.50064819336,2.041855759894392,1.2526940818956651,3.881747298536446,610560.0,0.37,4.3,0.002168465574986622,0.0017377962858799252
26,805.73254,756.1401196289063,869.2768804931642,5.035482695633773,1.8246825383804928,19.982925355144737,973080.0,0.39,3.4,0.0017241389546912567,0.0013765848003003353
29,254.74072,229.8784866333008,294.46869308471685,20.92268509079589,4.499840040853719,88.63336308299715,1376940.0,0.43,2.6,0.002086238066926538,0.0011572531101864485
32,21.90403,20.86936589241028,22.976417598724368,1.4744661824708905,0.9926829596389716,2.4855538977600524,419760.0,0.62,2.5,0.0019596527303885614,0.0020957932105484973
