layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,351356.2,148678.19,706957.6,923.54736,210.80054,1606.8633,9000.0,0.22,0.4,0.018093607259110578,0.014296961166644029
3,312139.72,38582.68,932037.7,3630.3247,275.33133,6762.3394,36000.0,0.23,0.0,0.009912064925726643,0.007153161548533642
4,187205.52,7897.3657,1207961.4,18262.186,397.27072,9595.785,144000.0,0.26,-0.1,0.012460647480440512,0.003577744605964338
5,28456.072,1183.8705,230827.5,27697.066,249.94458,9738.566,576000.0,0.29,-0.3,0.009721319479330637,0.001789162458327746
6,8096.1895,235.466,68482.875,32479.947,217.74236,9809.027,2304000.0,0.34,-0.3,0.006574078960350338,0.0008946536675937644
7,1641.3776,53.9611,15413.679,34277.926,169.44151,9802.916,9216000.0,0.4,-0.37,0.004688134805085231,0.00044734493084683295
8,322.79156,20.681915,2861.0088,30335.098,128.80406,9633.439,36864000.0,0.45,-0.5,0.005695452849035644,0.00022367698811616015
9,78.24113,5.765494,836.34357,36303.645,103.36456,9672.646,147456000.0,0.6,-0.7,0.010707537130950961,0.00011183962453501836
10,8.441141,0.7723184,75.92204,30066.248,93.83805,9509.907,589824000.0,5.0,-1.09,0.025589999999902524,5.5920094864633584e-05
