layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,351356.2,148678.19,706957.6,923.54736,210.80054,1606.8633,9000.0,0.22,0.4,0.0180936072591105,0.014296961166644,0.0238626777871774,0.2,0.222,0.47,0.01603553314030992,0.222,0.47,0.01603553314030992,7204
3,312139.72,38582.68,932037.7,3630.3247,275.33133,6762.3394,36000.0,0.23,0.0,0.0099120649257266,0.0071531615485336,0.0099120649257266,0.23,0.225,-0.09,0.008332481824189941,0.225,-0.09,0.008332481824189941,27000
4,187205.52,7897.3657,1207961.4,18262.186,397.27072,9595.785,144000.0,0.26,-0.1,0.0124606474804405,0.0035777446059643,0.0174559328471706,0.27,0.253,-0.19,0.010271638933511573,0.253,-0.19,0.010271638933511573,18000
5,28456.072,1183.8705,230827.5,27697.066,249.94458,9738.566,576000.0,0.29,-0.3,0.0097213194793306,0.0017891624583277,0.0168408590652753,0.32,0.284,-0.34,0.007869630837408381,0.284,-0.34,0.007869630837408381,30375
6,8096.1895,235.466,68482.875,32479.947,217.74236,9809.027,2304000.0,0.34,-0.3,0.0065740789603503,0.0008946536675937,0.0130947151989907,0.38,0.336,-0.33,0.0061236389898173815,0.336,-0.33,0.0061236389898173815,51256
7,1641.3776,53.9611,15413.679,34277.926,169.44151,9802.916,9216000.0,0.4,-0.37,0.0046881348050852,0.0004473449308468,0.0116392363183654,0.46,0.4,-0.362,0.0045681966062463,0.4,-0.362,0.0045681966062463,91125
8,322.79156,20.681915,2861.0088,30335.098,128.80406,9633.439,36864000.0,0.45,-0.5,0.0056954528490356,0.0002236769881161,0.0188560536154814,0.57,0.44,-0.54,0.004804048458954768,0.44,-0.54,0.004804048458954768,81000
9,78.24113,5.765494,836.34357,36303.645,103.36456,9672.646,147456000.0,0.6,-0.7,0.0107075371309509,0.000111839624535,0.0299445897543945,1.07,0.59,-0.708,0.00983728345283652,0.59,-0.708,0.00983728345283652,19219
10,8.441141,0.7723184,75.92204,30066.248,93.83805,9509.907,589824000.0,5.0,-1.09,0.0255899999999025,5.5920094864633584e-05,0.1493638304113334,6.1,5.5,-1.092,0.025589999999875657,5.5,-1.092,0.025589999999875657,2845
