layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,17165.852,16488.44521484375,17847.676806640626,4.017384689597342,3.1162858020534534,5.181984131493475,27208.0,0.21,0.0,0.0209908268261739,0.0082273201196278,0.0209908268261739,0.21,0.207,-0.08,0.0184291677396666,0.207,-0.08,0.0184291677396666,5737,50.0,0.149293,0.0,50.0,0.103607,9.60938e-255,50.0,0.0786473,7.961309999999996e-147,1.8566e-08
3,4524.57,4389.919519042969,4668.648500976562,11.562075677221774,8.780507610206996,15.26329781554768,108832.0,0.09,-1.3,0.1315299999999998,0.0041152012481055,0.1315396753501174,0.29,0.087,-1.37,0.1315299999999998,0.087,-1.37,0.1315299999999998,106,20.9464,0.132334,0.0,14.3612,0.13154,0.0,11.4596,0.13154,0.0,0.0
4,1373.4995,1337.20921875,1411.2042218017575,9.261634168012447,7.796116411187856,11.177311546862365,333298.0,0.14,-1.2,0.0763669159504916,0.0023519198649528,0.0853555376478079,0.3,0.13,-1.24,0.0763599999999999,0.13,-1.24,0.0763599999999999,325,15.069,0.102694,0.0,11.7751,0.0883252,0.0,9.47518,0.0914396,0.0,0.0
5,373.9722,363.160255279541,384.9922021484375,10.399796216198755,7.744356541979743,15.153512460290404,1149538.0,0.2,-1.0,0.0402470520078653,0.0012665428950382,0.0707558031305325,0.34,0.19,-1.05,0.0402451368515606,0.19,-1.05,0.0402451368515606,1122,8.65016,0.0884473,0.0,6.8804,0.0718593,0.0,5.50559,0.0751618,0.0,0.0
6,90.55869,87.97025382995605,93.37066242218016,11.086197582103532,8.39326054033911,15.483006672025429,4251250.0,0.25,-0.9,0.0209932235352335,0.000658638529926,0.0562100528248149,0.41,0.24,-0.93,0.0185339426100632,0.24,-0.93,0.0185339426100632,5251,4.65904,0.0753064,0.0,3.78221,0.0559477,0.0,3.05194,0.0600068,0.0,0.0
7,20.864292,20.13236427307129,21.656595315933227,18.333369636555272,11.867615870723622,29.35160876990464,17005000.0,0.28,-1.0,0.016884959566793,0.000329329071013,0.0626398491282426,0.61,0.28,-1.01,0.0133396249793253,0.28,-1.01,0.0133396249793253,10507,1.95542,0.0806141,0.0,1.62019,0.0587966,0.0,1.28993,0.0624226,0.0,0.0
8,4.537877,4.343648850917816,4.747077422142029,28.59776575966852,17.03324800286267,47.50207647657469,68020000.0,0.43,-1.0,0.0132541658266543,0.0001646669863926,0.0639537056931968,1.64,0.438,-1.0,0.0132540832420013,0.438,-1.0,0.0132540832420013,10507,0.842765,0.0772873,0.0,0.728515,0.0510784,0.0,0.573775,0.0523516,0.0,0.0
9,0.850108,0.7934992268681527,0.9333761680126188,97.79494190759311,21.79965085769581,222.87802340797435,272080000.0,1.3,-1.0,0.0244945490630108,8.233410583957582e-05,0.1236243170446962,6.1,1.29,-1.03,0.024493035250744,1.29,-1.03,0.024493035250744,3112,0.428233,0.0579467,0.0,0.376442,0.030833,0.0,0.298091,0.0302376,0.0,0.0
