layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,150199.61,85008.8241015625,248364.73226562503,411.5677951392131,85.16688173659271,581.2458808658308,9000.0,0.22,0.4,0.017328223618753,0.014296961166644,0.0306278331821358,0.2,0.217,0.31,0.013913149988188211,0.217,0.31,0.013913149988188211,9607
3,33515.562,19958.825878906253,52689.47925781252,366.28333212776346,101.3256882945015,561.9845351332649,36000.0,0.22,-0.2,0.015524008077985,0.0071531615485336,0.023692826935916,0.23,0.226,-0.11,0.013650223497866265,0.226,-0.11,0.013650223497866265,10125
4,8690.716,4650.655151367188,15441.937553710946,584.8112664729454,124.44871841461742,1337.4536480303875,144000.0,0.27,0.0,0.0143939295775995,0.0035777446059643,0.0143939295775995,0.27,0.263,-0.1,0.01271372917426718,0.263,-0.1,0.01271372917426718,11389
5,1600.9619,772.0531372070312,3722.834313964844,1309.7212192827967,95.40087028120554,3193.442929011412,576000.0,0.31,-0.1,0.0123618795011947,0.0017891624583277,0.0134467708323933,0.32,0.302,-0.2,0.010524860662266766,0.302,-0.2,0.010524860662266766,17085
6,339.5192,152.12308631896974,1059.8396838378908,2687.210297059168,93.11147517748192,4763.505439129027,2304000.0,0.36,-0.2,0.0076681465154794,0.0008946536675937,0.0100712541999167,0.38,0.355,-0.23,0.0069518332997928756,0.355,-0.23,0.0069518332997928756,38442
7,87.08632,35.83677265167236,371.80540954589856,4823.475991334614,72.40095823916295,6356.322824380565,9216000.0,0.44,-0.2,0.0066198689943705,0.0004473449308468,0.0088515160769618,0.47,0.43,-0.23,0.005400085921761666,0.43,-0.23,0.005400085921761666,60750
8,29.88356,15.5505739736557,79.51206024169934,1685.915860833637,80.56413155117374,3720.926795475689,36864000.0,0.48,-0.4,0.0068824112306379,0.0002236769881161,0.0152907839955624,0.58,0.47,-0.45,0.005399417861894795,0.47,-0.45,0.005399417861894795,60750
9,8.940126,4.773327629566193,23.294833459854136,1591.253638684454,83.6089029584524,3578.031731475811,147456000.0,0.6,-0.7,0.0085174255240534,0.000111839624535,0.0260900719564539,1.06,0.594,-0.71,0.008222602246935795,0.594,-0.71,0.008222602246935795,27000
10,1.3539953,0.6872689667344094,4.314198565483097,2561.7037195340654,78.23043405082971,4657.250794550947,589824000.0,10.0,-1.1,0.0293030835995221,5.5920094864633584e-05,0.1430975818802427,6.2,9.9999,-1.07,0.022544635818924796,9.9999,-1.07,0.022544635818924796,3796
