layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,17099.889,16406.3961328125,17788.96572265625,4.485044214042976,3.396246500265243,5.924756773572504,27208.0,0.21,0.0,0.0248393910126126,0.0082273201196278,0.0248393910126126,0.21,0.208,-0.08,0.021679611636913,0.208,-0.08,0.021679611636913,3825,50.0,0.149302,0.0,50.0,0.103913,2.9831899999999996e-256,50.0,0.0793741,1.5101699999999993e-149,1.5355e-11
3,4439.3,4308.276179199219,4577.157507324218,11.245151650894654,8.622312134598676,14.488305433065031,108832.0,0.09,-1.3,0.1319199999999998,0.0041152012481055,0.1319316330676234,0.29,0.087,-1.37,0.1319199999999998,0.087,-1.37,0.1319199999999998,106,20.6145,0.134921,0.0,14.4696,0.131934,0.0,11.5824,0.131936,0.0,0.0
4,1375.08,1337.640381469727,1414.9285107421874,9.946785951172942,8.102579086001336,12.841204367294528,333298.0,0.13,-1.2,0.07505,0.0023519198649528,0.089232475505135,0.3,0.126,-1.23,0.0750499999999999,0.126,-1.23,0.0750499999999999,325,15.021,0.104086,0.0,11.6139,0.0915657,0.0,9.37528,0.0944981,0.0,0.0
5,383.26047,370.5800860595703,397.2224153137207,15.705747160958246,9.172204354809532,27.391761102713065,1149538.0,0.2,-1.0,0.0398370520078653,0.0012665428950382,0.072694551695257,0.35,0.192,-1.04,0.0398356326556207,0.192,-1.04,0.0398356326556207,1122,8.59879,0.0891741,0.0,6.67958,0.0753477,0.0,5.37586,0.0783212,0.0,0.0
6,87.51157,84.75722759246827,90.59829029083252,14.39382275740638,9.844557725832171,21.75382522233128,4251250.0,0.25,-0.9,0.0292834009036039,0.000658638529926,0.0582039314254667,0.42,0.24,-0.95,0.0227436566507606,0.24,-0.95,0.0227436566507606,3501,4.49168,0.075957,0.0,3.59307,0.0582248,0.0,2.90483,0.0618912,0.0,0.0
7,18.372211,17.63635585784912,19.22302680015564,26.509922055880462,12.767423036308928,54.195093613946575,17005000.0,0.29,-1.0,0.0194895227594729,0.000329329071013,0.064110747650031,0.65,0.28,-1.03,0.0140940550603685,0.28,-1.03,0.0140940550603685,9340,1.80886,0.0813372,0.0,1.48977,0.0601951,0.0,1.18575,0.0637777,0.0,0.0
8,3.8332431,3.631796332597733,4.082098736762999,50.95968234369494,18.29051507244186,106.52938175564796,68020000.0,0.46,-1.0,0.014589924062755,0.0001646669863926,0.0674104098829872,2.7,0.455,-1.01,0.011964620066127,0.455,-1.01,0.011964620066127,12454,0.760144,0.0781498,0.0,0.656985,0.0519398,0.0,0.516646,0.0533301,0.0,0.0
9,0.72233033,0.6539262959361076,0.8352566742897031,243.18805992140057,24.07817882494741,559.6523861210251,272080000.0,10.0,-1.1,0.0283354056360475,8.233410583957582e-05,0.1394545648301105,6.1,9.9999,-1.08,0.0234527429525334,9.9999,-1.08,0.0234527429525334,3501,0.382418,0.058575,0.0,0.33684,0.0313908,0.0,0.268259,0.0302909,0.0,0.0
