layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,27208.0,0.2,-0.22,0.0225448941771404,0.2,-0.22,0.02254491125492455,3825
3,108832.0,0.12,-1.2,0.1319199999999998,0.11,-1.27,0.13191999999999987,106
4,333298.0,0.13,-1.2,0.0750499999999999,0.126,-1.23,0.0750499999999999,325
5,1149538.0,0.2,-1.0,0.0398374494679916,0.199,-1.01,0.039836711249169265,1122
6,4251250.0,0.25,-0.9,0.0292834009054665,0.24,-0.95,0.022743656650760613,3501
7,17005000.0,0.3,-0.99,0.0186680102736747,0.3,-0.994,0.017626898978507832,6226
8,68020000.0,0.46,-1.0,0.0145899240625254,0.455,-1.01,0.011964620066127085,12454
9,272080000.0,8.0,-1.08,0.023454079392651,7.8,-1.08,0.023452696504763337,3501
