layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,188570.73,99638.347265625,330262.20578125,536.032943291441,113.30453891719785,760.9435182581135,9000.0,0.22,0.4,0.0176736688625633,0.014296961166644,0.0259010965973252,0.2,0.216,0.31,0.0145116141445035,0.216,0.31,0.0145116141445035,9000.0,131.899,0.055415,1.83491e-24,116.308,0.0294734,3.1667e-07,93.6134,0.026207,8.39031e-06,0.044726562
3,42568.312,23773.759023437506,71607.31816406253,488.995292885301,135.9745161189162,891.2730987430903,36000.0,0.23,0.0,0.0162210713312374,0.0071531615485336,0.0162210713312374,0.23,0.232,0.02,0.013929526007962,0.232,0.02,0.013929526007962,9607.0,53.5844,0.0577695,7.115699999999996e-105,47.5145,0.0316814,7.939590000000001e-32,37.2651,0.0303621,2.88915e-29,1.696509e-06
4,10773.336,5322.669938964844,20877.78974609375,785.2427872433466,131.39226090037934,1768.9526651761955,144000.0,0.26,-0.1,0.0133629508406654,0.0035777446059643,0.0184977301627404,0.27,0.253,-0.2,0.0116482523279392,0.253,-0.2,0.0116482523279392,13500.0,23.1486,0.0542511,0.0,20.6773,0.0289753,1.8310899999999987e-105,16.103,0.0249643,2.1538599999999996e-78,2.1209342e-17
5,1800.4349,923.8530337524414,3624.651760253912,858.0374324873367,109.91374896677202,2074.878934233327,576000.0,0.29,-0.3,0.0106608716211096,0.0017891624583277,0.0178312352256391,0.32,0.282,-0.36,0.0085828313092857,0.282,-0.36,0.0085828313092857,25627.0,10.8825,0.0486522,0.0,9.71214,0.0239306,5.558779999999999e-287,7.60183,0.0189337,8.485669999999995e-180,2.77221e-37
6,390.8875,183.2886490631104,971.4698043823242,1521.5396323302837,104.03552899837588,3444.5238925697777,2304000.0,0.34,-0.3,0.0064797479350655,0.0008946536675937,0.0128993181458186,0.38,0.336,-0.33,0.0063085357489634,0.336,-0.33,0.0063085357489634,45562.0,5.7312,0.0421541,0.0,5.10167,0.0171765,0.0,4.01216,0.0134579,0.0,4.5190452999999986e-80
7,98.47922,41.024356594085695,351.60381179809605,3306.7049641323383,84.34886676202444,5672.120160071805,9216000.0,0.43,-0.2,0.0066464759207488,0.0004473449308468,0.0108841569246342,0.46,0.421,-0.25,0.0057856534862905,0.421,-0.25,0.0057856534862905,54000.0,3.21246,0.0391175,0.0,2.84697,0.0130996,0.0,2.26598,0.0124197,0.0,2.2106057999999995e-268
8,33.173733,15.926920800209048,100.37402923583994,2264.614115808049,78.3217613964366,4638.636881169377,36864000.0,0.45,-0.5,0.0051624028057109,0.0002236769881161,0.0152432374667067,0.57,0.455,-0.48,0.0041013716843673,0.455,-0.48,0.0041013716843673,108000.0,2.08146,0.0412916,0.0,1.83749,0.014487,0.0,1.46714,0.0143513,0.0,0.0
9,11.252635,4.427864716053009,43.877699890136725,5137.098532126801,82.3298659260664,6105.371533998571,147456000.0,0.59,-0.7,0.0066345792823879,0.000111839624535,0.0256054443330465,1.04,0.591,-0.7,0.0065481490751753,0.591,-0.7,0.0065481490751753,45562.0,1.03417,0.043593,0.0,0.914581,0.0171908,0.0,0.725643,0.0156112,0.0,0.0
10,1.8759142,0.6159921610355378,10.18480234146122,9775.981566576856,78.6842514527269,7496.855320377176,589824000.0,7.0,-1.08,0.0260999999999777,5.5920094864633584e-05,0.1454956699801018,6.2,7.0,-1.082,0.026099999999972,7.0,-1.082,0.026099999999972,2845.0,0.361632,0.0466551,0.0,0.298702,0.0261,0.0,0.237466,0.0261,0.0,0.0
