band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.17,1.6,0.0117573935280552,0.169,1.55,0.009992888303504224,18984
5,117000.0,0.16,0.7,0.0106261803646663,0.162,0.79,0.008443289039321678,24678
8,189000.0,0.17,0.9,0.0093570909923701,0.171,0.95,0.008794294099650823,23625
11,495000.0,0.19,1.7,0.0074279971395228,0.188,1.63,0.005684060827510313,58729
14,1134000.0,0.2,1.9,0.0078403236731009,0.198,1.84,0.004870059237923274,79734
17,2574000.0,0.2,1.5,0.0050874225306012,0.198,1.42,0.0036121694695424,135736
20,5967000.0,0.19,0.7,0.0064143737181197,0.192,0.77,0.0043534048246720025,93234
23,13887000.0,0.2,0.6,0.0093053133328724,0.198,0.57,0.005799387735740333,54246
26,31968000.0,0.2,0.1,0.0077213192042135,0.201,0.12,0.006598692265486816,44446
29,73701000.0,0.22,-0.2,0.0175962558364147,0.218,-0.26,0.010885900694300954,15180
32,59634000.0,0.27,-0.2,0.015373991810575,0.268,-0.2,0.01300799981457701,10918
