band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05
2,338938200.0,196374080.0,552712450.0,421.84155,123.97443,696.23804,45000.0,0.16,1.0,0.011932133031086756,0.0063984224173442
5,173710880.0,100162536.0,327317660.0,628.03,108.21224,1663.2395,117000.0,0.17,1.3,0.012359632840273527,0.003969010248311788
8,67275040.0,35072780.0,170615260.0,1363.7307,99.3656,3639.2358,189000.0,0.17,1.0,0.011212091896151993,0.003123040397909581
11,31971494.0,14998647.0,102286740.0,2698.3176,93.68093,4889.278,495000.0,0.18,1.2,0.005073892506814226,0.0019299803152697053
14,12705598.0,6076386.5,39761884.0,2654.2952,86.30504,4711.6294,1134000.0,0.19,1.4,0.004087113524687047,0.0012751894232635628
17,7576061.0,2721037.5,43174530.0,12164.642,72.317085,7907.98,2574000.0,0.2,1.6,0.007568057101391801,0.0008464353782179778
20,3612940.2,1492382.5,16059885.0,5707.6304,75.890045,6510.244,5967000.0,0.2,1.2,0.007050018338727093,0.0005559445407404772
23,1682205.9,544084.9,10665900.0,14689.195,66.17716,8234.636,13887000.0,0.2,0.7,0.010791547705730653,0.0003644288842482448
26,1053356.0,153341.94,10858866.0,32939.27,74.59863,9373.831,31968000.0,0.2,0.1,0.01100899223530355,0.0002401951053511448
29,109293.61,19582.492,869354.9,27951.705,85.44221,9154.597,73701000.0,0.22,-0.2,0.015176907129076628,0.00015819341995114793
32,3646.441,2053.4905,8570.0625,1185.7649,81.10659,2850.0388,59634000.0,0.28,0.0,0.012630025419513417,0.00017586420018087293
