band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,338938200.0,196374080.0,552712450.0,421.84155,123.97443,696.23804,45000.0,0.16,1.0,0.0119321330310867,0.0063984224173442,0.0484363444996703,0.14,0.158,0.93,0.0076400981001627,0.158,0.93,0.0076400981001627,32035,5670.97,0.0480103,1.404119999999999e-90,5012.74,0.0218713,3.94117e-19,3967.85,0.0190292,1.38299e-14,0.010405847
5,173710880.0,100162536.0,327317660.0,628.03,108.21224,1663.2395,117000.0,0.17,1.3,0.0123596328402735,0.0039690102483117,0.0395266520635401,0.14,0.168,1.22,0.0092274916422206,0.168,1.22,0.0092274916422206,21937,3910.2,0.0447699,3.208879999999999e-204,3477.24,0.019793,3.0133100000000002e-40,2746.94,0.0149467,3.91042e-23,4.417691e-09
8,67275040.0,35072780.0,170615260.0,1363.7307,99.3656,3639.2358,189000.0,0.17,1.0,0.0112120918961519,0.0031230403979095,0.0509381063597041,0.15,0.172,1.08,0.0056230260893145,0.172,1.08,0.0056230260893145,59799,2587.03,0.0406657,5.163949999999999e-272,2299.65,0.0156683,9.83935e-41,1820.76,0.0128219,2.0311e-27,1.2846552e-05
11,31971494.0,14998647.0,102286740.0,2698.3176,93.68093,4889.278,495000.0,0.18,1.2,0.0050738925068142,0.0019299803152697,0.0341672565836256,0.15,0.178,1.11,0.004199907728998,0.178,1.11,0.004199907728998,104413,1862.95,0.0376707,0.0,1650.63,0.0125391,4.945439999999999e-68,1319.48,0.00990487,1.3069e-42,5.1972762e-08
14,12705598.0,6076386.5,39761884.0,2654.2952,86.30504,4711.6294,1134000.0,0.19,1.4,0.004087113524687,0.0012751894232635,0.0474592520470308,0.16,0.188,1.3,0.0034065838812573,0.188,1.3,0.0034065838812573,159468,1290.77,0.0363698,0.0,1139.25,0.0105889,7.199269999999996e-111,919.2,0.00918613,1.5165499999999993e-83,7.4051791e-12
17,7576061.0,2721037.5,43174530.0,12164.642,72.317085,7907.98,2574000.0,0.2,1.6,0.0075680571013918,0.0008464353782179,0.0361482879888573,0.16,0.199,1.52,0.0043152458115849,0.199,1.52,0.0043152458115849,101800,916.309,0.0357581,0.0,808.673,0.00974921,6.264029999999998e-213,652.829,0.00873638,4.534409999999998e-171,4.6466795999999994e-42
20,3612940.2,1492382.5,16059885.0,5707.6304,75.890045,6510.244,5967000.0,0.2,1.2,0.007050018338727,0.0005559445407404,0.0331838186554266,0.17,0.199,1.13,0.0040499825241707,0.199,1.13,0.0040499825241707,117997,646.443,0.0377106,0.0,569.431,0.0118999,0.0,458.822,0.00965942,0.0,1.943390999999999e-85
23,1682205.9,544084.9,10665900.0,14689.195,66.17716,8234.636,13887000.0,0.2,0.7,0.0107915477057306,0.0003644288842482,0.0263137148754726,0.18,0.199,0.63,0.0042453032376351,0.199,0.63,0.0042453032376351,102981,378.266,0.0414525,0.0,334.085,0.0158458,0.0,267.047,0.0120939,0.0,8.118833799999999e-218
26,1053356.0,153341.94,10858866.0,32939.27,74.59863,9373.831,31968000.0,0.2,0.1,0.0110089922353035,0.0002401951053511,0.0225783648711356,0.2,0.202,0.13,0.0064417980099904,0.202,0.13,0.0064417980099904,46827,169.34,0.0484232,0.0,150.549,0.023172,0.0,118.74,0.0185143,0.0,0.0
29,109293.61,19582.492,869354.9,27951.705,85.44221,9154.597,73701000.0,0.22,-0.2,0.0151769071290766,0.0001581934199511,0.0236372543531737,0.23,0.22,-0.22,0.0098043373188784,0.22,-0.22,0.0098043373188784,20241,51.7689,0.0546428,0.0,46.1653,0.0300402,0.0,36.4036,0.0241588,0.0,0.0
