band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.0,0.0119321330310867,0.158,0.93,0.007640098100162751,32035
5,117000.0,0.17,1.3,0.0123596328402735,0.168,1.22,0.009227491642220698,21937
8,189000.0,0.17,1.0,0.0112120918961519,0.172,1.08,0.005623026089314531,59799
11,495000.0,0.18,1.2,0.0050738925068142,0.178,1.11,0.004199907728998031,104413
14,1134000.0,0.19,1.4,0.004087113524687,0.188,1.3,0.0034065838812573634,159468
17,2574000.0,0.2,1.6,0.0075680571013918,0.199,1.52,0.004315245811584904,101800
20,5967000.0,0.2,1.2,0.007050018338727,0.199,1.13,0.004049982524170789,117997
23,13887000.0,0.2,0.7,0.0107915477057306,0.199,0.63,0.004245303237635167,102981
26,31968000.0,0.2,0.1,0.0110089922353035,0.202,0.13,0.006441798009990479,46827
29,73701000.0,0.22,-0.2,0.0151769071290766,0.22,-0.22,0.009804337318878448,20241
32,59634000.0,0.28,0.0,0.0126300254195134,0.275,-0.06,0.011098813219575464,14559
