band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,338938200.0,196374080.0,552712450.0,421.84155,123.97443,696.23804,45000.0,0.16,1.0,0.0119321330310867,0.0063984224173442,0.0484363444996703,0.14,0.158,0.93,0.007640098100162751,0.158,0.93,0.007640098100162751,32035
5,173710880.0,100162536.0,327317660.0,628.03,108.21224,1663.2395,117000.0,0.17,1.3,0.0123596328402735,0.0039690102483117,0.0395266520635401,0.14,0.168,1.22,0.009227491642220698,0.168,1.22,0.009227491642220698,21937
8,67275040.0,35072780.0,170615260.0,1363.7307,99.3656,3639.2358,189000.0,0.17,1.0,0.0112120918961519,0.0031230403979095,0.0509381063597041,0.15,0.172,1.08,0.005623026089314531,0.172,1.08,0.005623026089314531,59799
11,31971494.0,14998647.0,102286740.0,2698.3176,93.68093,4889.278,495000.0,0.18,1.2,0.0050738925068142,0.0019299803152697,0.0341672565836256,0.15,0.178,1.11,0.004199907728998031,0.178,1.11,0.004199907728998031,104413
14,12705598.0,6076386.5,39761884.0,2654.2952,86.30504,4711.6294,1134000.0,0.19,1.4,0.004087113524687,0.0012751894232635,0.0474592520470308,0.16,0.188,1.3,0.0034065838812573634,0.188,1.3,0.0034065838812573634,159468
17,7576061.0,2721037.5,43174530.0,12164.642,72.317085,7907.98,2574000.0,0.2,1.6,0.0075680571013918,0.0008464353782179,0.0361482879888573,0.16,0.199,1.52,0.004315245811584904,0.199,1.52,0.004315245811584904,101800
20,3612940.2,1492382.5,16059885.0,5707.6304,75.890045,6510.244,5967000.0,0.2,1.2,0.007050018338727,0.0005559445407404,0.0331838186554266,0.17,0.199,1.13,0.004049982524170789,0.199,1.13,0.004049982524170789,117997
23,1682205.9,544084.9,10665900.0,14689.195,66.17716,8234.636,13887000.0,0.2,0.7,0.0107915477057306,0.0003644288842482,0.0263137148754726,0.18,0.199,0.63,0.004245303237635167,0.199,0.63,0.004245303237635167,102981
26,1053356.0,153341.94,10858866.0,32939.27,74.59863,9373.831,31968000.0,0.2,0.1,0.0110089922353035,0.0002401951053511,0.0225783648711356,0.2,0.202,0.13,0.006441798009990479,0.202,0.13,0.006441798009990479,46827
29,109293.61,19582.492,869354.9,27951.705,85.44221,9154.597,73701000.0,0.22,-0.2,0.0151769071290766,0.0001581934199511,0.0236372543531737,0.23,0.22,-0.22,0.009804337318878448,0.22,-0.22,0.009804337318878448,20241
