band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,258505000.0,158928370.0,407882050.0,356.08157,99.1333,600.4443,45000.0,0.16,1.0,0.0109127809240557,0.0063984224173442,0.044431721460107876,0.14
5,152978510.0,86311510.0,311299740.0,813.59064,103.77999,2060.548,117000.0,0.16,0.7,0.0112555024546456,0.0039690102483117,0.052068939338635836,0.14
8,51216776.0,30030232.0,95833080.0,612.8061,92.325806,1727.8018,189000.0,0.18,1.5,0.0088142983889866,0.0031230403979095,0.04534486971554841,0.15
11,30906166.0,12614540.0,127853150.0,5769.239,83.0579,6259.8403,495000.0,0.19,1.7,0.0083972093203444,0.0019299803152697,0.04439108410101758,0.15
14,10556804.0,5359151.0,34582852.0,2610.0828,75.71078,4860.0464,1134000.0,0.2,2.0,0.0062939854984342,0.0012751894232635,0.04860184178124727,0.16
17,6451851.0,2578067.5,33936850.0,11181.922,65.416466,7685.5044,2574000.0,0.2,1.5,0.0064674289436898,0.0008464353782179,0.04036057615950095,0.16
20,3491903.0,1486022.9,17120646.0,6724.6265,70.291565,6708.6846,5967000.0,0.19,0.7,0.0066971166734985,0.0005559445407404,0.028826552242590175,0.17
23,1724653.2,591100.3,11486877.0,16738.59,63.702858,8285.558,13887000.0,0.2,0.6,0.0124524284930973,0.0003644288842482,0.026760660824213633,0.18
26,1045735.8,169787.45,10570935.0,32596.104,71.61246,9318.733,31968000.0,0.2,0.1,0.0085305099674886,0.0002401951053511,0.029358504238865102,0.2
29,111884.68,21236.27,904638.9,26453.193,91.602455,9072.577,73701000.0,0.22,-0.2,0.0136069190259666,0.0001581934199511,0.022164937584111866,0.23
32,4155.7266,2176.4397,11599.141,1816.9076,91.58009,3932.401,59634000.0,0.29,0.1,0.0174575773742663,0.0001758642001808,0.01910294782239419,0.28
