band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,238621.34,227525.05,250164.66,1.3298607,0.96238965,1.77264,31800.0,0.28,7.1,0.0048884747847834,0.0076105772670922,0.0726297772580183,0.17,0.28,7.13,0.0036185891801164,0.28,7.13,0.0036185891801164,135831.0,449.752,0.0128268,5.65934e-05,402.259,0.0207025,2.85597e-12,323.289,0.0222525,4.1297e-14,0.79784472
5,125861.8,119992.66,131988.28,1.392025,0.909872,2.123118,41340.0,0.29,6.9,0.0033092805418751,0.0066754871311422,0.0486539483863698,0.18,0.29,6.92,0.0028700668975988,0.29,6.92,0.0028700668975988,235443.0,329.404,0.0111476,6.84729e-05,291.583,0.0204318,2.01339e-15,235.688,0.0223055,2.6758200000000003e-18,0.88428215
8,66732.33,63640.67,69916.1,1.3771291,0.96771985,1.9176652,66780.0,0.3,6.6,0.003085115396466,0.0052529256547175,0.0561898296823697,0.19,0.3,6.58,0.0030436831384742,0.3,6.58,0.0030436831384742,190165.0,240.13,0.0111257,1.31155e-07,212.188,0.0204639,1.00546e-24,170.832,0.0217976,5.39475e-28,0.5651227
11,36748.125,34953.164,38624.617,1.7273335,1.0428352,3.0285838,104940.0,0.32,7.3,0.0025384724315751,0.0041907897336608,0.0655977542871941,0.19,0.319,7.21,0.0015482992870708,0.319,7.21,0.0015482992870708,796887.0,177.456,0.0107738,5.21767e-11,155.978,0.0190892,1.1971400000000003e-33,126.04,0.0218141,8.244569999999999e-44,0.96260177
14,19290.611,18380.465,20250.715,1.5637116,0.98590016,3.0214248,162180.0,0.33,6.7,0.003391135162694,0.003371320732074,0.0544491262227333,0.2,0.331,6.78,0.0032407773583824,0.331,6.78,0.0032407773583824,182452.0,128.363,0.0113466,1.44939e-18,114.004,0.020163,1.0490399999999998e-57,91.7946,0.0218135,1.8146e-67,0.06615939
17,10338.449,9839.2705,10859.774,1.6528234,1.0620842,3.0633144,257580.0,0.34,6.0,0.0023073280943042,0.0026752851133031,0.0473376900970143,0.21,0.339,5.9,0.0017452764399112,0.339,5.9,0.0017452764399112,579555.0,93.3851,0.0120762,4.664020000000001e-33,82.6388,0.0183042,2.1403899999999997e-75,66.5691,0.0207152,1.8991399999999988e-96,0.41221057
20,4938.3066,4692.6626,5208.717,2.0606022,1.1709815,6.707925,381600.0,0.35,5.0,0.001195157691754,0.0021980660924352,0.0519721164275199,0.22,0.349,4.93,0.0011012472658861,0.349,4.93,0.0011012472658861,1448887.0,64.3175,0.0121151,4.43256e-49,56.5907,0.0175161,3.931639999999997e-102,45.6366,0.0200884,3.3671599999999985e-134,0.74331967
23,2210.008,2095.9802,2333.3518,2.336577,1.42222,4.876342,610560.0,0.37,4.5,0.0025744114457936,0.0017377962858799,0.0345718981899042,0.24,0.369,4.42,0.0017681993361973,0.369,4.42,0.0017681993361973,610560.0,42.3397,0.0135451,9.873359999999994e-98,37.4996,0.0171117,1.0028099999999996e-155,30.2891,0.0193745,1.6213299999999993e-199,0.043896951
26,871.8909,814.14685,942.1888,5.787819,2.4792078,17.814651,973080.0,0.39,3.5,0.0025941210497003,0.0013765848003003,0.0351841210174174,0.26,0.388,3.4,0.001825673669048,0.388,3.4,0.001825673669048,547357.0,25.7093,0.0148933,6.485279999999997e-188,22.652,0.0156554,1.3560599999999996e-207,18.2924,0.0175676,2.691429999999999e-261,0.0030433735
29,297.93655,265.63385,344.98026,23.688461,6.6877375,80.94592,1376940.0,0.42,2.4,0.0030867763699599,0.0011572531101864,0.0306710376443648,0.3,0.416,2.3,0.0028071575986953,0.416,2.3,0.0028071575986953,245061.0,13.895,0.015675,2.7153099999999993e-294,12.214,0.0155881,4.820369999999999e-291,9.9192,0.0164636,0.0,7.5096121e-10
32,25.905695,24.708324,27.137707,1.305109,0.8938685,2.0176268,419760.0,0.64,3.4,0.0014733707676205,0.0020957932105484,0.0256375003499502,0.4,0.637,3.33,0.0013061933647445,0.637,3.33,0.0013061933647445,1062517.0,4.75715,0.0100364,3.7283800000000005e-37,4.18768,0.0200662,2.9891099999999986e-147,3.38255,0.0220879,2.4924599999999985e-178,0.47061317
