band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,238621.34,227525.05,250164.66,1.3298607,0.96238965,1.77264,31800.0,0.28,7.1,0.0048884747847834,0.0076105772670922,0.07262977725801834,0.17
5,125861.8,119992.66,131988.28,1.392025,0.909872,2.123118,41340.0,0.29,6.9,0.0033092805418751,0.0066754871311422,0.04865394838636983,0.18
8,66732.33,63640.67,69916.1,1.3771291,0.96771985,1.9176652,66780.0,0.3,6.6,0.003085115396466,0.0052529256547175,0.056189829682369796,0.19
11,36748.125,34953.164,38624.617,1.7273335,1.0428352,3.0285838,104940.0,0.32,7.3,0.0025384724315751,0.0041907897336608,0.06559775428719418,0.19
14,19290.611,18380.465,20250.715,1.5637116,0.98590016,3.0214248,162180.0,0.33,6.7,0.003391135162694,0.003371320732074,0.054449126222733346,0.2
17,10338.449,9839.2705,10859.774,1.6528234,1.0620842,3.0633144,257580.0,0.34,6.0,0.0023073280943042,0.0026752851133031,0.04733769009701437,0.21
20,4938.3066,4692.6626,5208.717,2.0606022,1.1709815,6.707925,381600.0,0.35,5.0,0.001195157691754,0.0021980660924352,0.051972116427519977,0.22
23,2210.008,2095.9802,2333.3518,2.336577,1.42222,4.876342,610560.0,0.37,4.5,0.0025744114457936,0.0017377962858799,0.03457189818990425,0.24
26,871.8909,814.14685,942.1888,5.787819,2.4792078,17.814651,973080.0,0.39,3.5,0.0025941210497003,0.0013765848003003,0.03518412101741742,0.26
29,297.93655,265.63385,344.98026,23.688461,6.6877375,80.94592,1376940.0,0.42,2.4,0.0030867763699599,0.0011572531101864,0.03067103764436485,0.3
32,25.905695,24.708324,27.137707,1.305109,0.8938685,2.0176268,419760.0,0.64,3.4,0.0014733707676205,0.0020957932105484,0.025637500349950215,0.4
