band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,31800.0,0.28,7.1,0.0048884747847834,0.28,7.13,0.0036185891801164827,135831.0
5,41340.0,0.29,6.9,0.0033092805418751,0.29,6.92,0.002870066897598833,235443.0
8,66780.0,0.3,6.6,0.003085115396466,0.3,6.58,0.0030436831384742513,190165.0
11,104940.0,0.32,7.3,0.0025384724315751,0.319,7.21,0.00154829928707087,796887.0
14,162180.0,0.33,6.7,0.003391135162694,0.331,6.78,0.003240777358382463,182452.0
17,257580.0,0.34,6.0,0.0023073280943042,0.339,5.9,0.0017452764399112364,579555.0
20,381600.0,0.35,5.0,0.001195157691754,0.349,4.93,0.0011012472658861738,1448887.0
23,610560.0,0.37,4.5,0.0025744114457936,0.3689,4.413,0.0017275285325474288,610560.0
26,973080.0,0.39,3.5,0.0025941210497003,0.3878,3.391,0.0018122697230699147,547357.0
29,1376940.0,0.42,2.4,0.0030867763699599,0.416,2.3,0.00280715759869532,245061.0
32,419760.0,0.64,3.4,0.0014733707676205,0.637,3.33,0.001306193364744539,1062517.0
