dataset,transform,group,frequency
pastis,fourier,2,0.0612423080240721
pastis,fourier,3,0.0658145957745232
pastis,fourier,4,0.0719965034785324
pastis,fourier,5,0.0786894060264965
pastis,fourier,6,0.0844556499859746
pastis,fourier,7,0.091393572158513
pastis,fourier,8,0.0984528510586005
pastis,fourier,9,0.1062055284593129
pastis,fourier,10,0.1143550061490332
pastis,fourier,11,0.1235654909319708
pastis,fourier,12,0.1336424517544531
pastis,fourier,13,0.144177605426983
pastis,fourier,14,0.1555660189077611
pastis,fourier,15,0.1686302024284481
pastis,fourier,16,0.1818570086399563
pastis,fourier,17,0.1962613342499989
pastis,fourier,18,0.2123066807180294
pastis,fourier,19,0.2290820354628019
pastis,fourier,20,0.2471309818639417
pastis,fourier,21,0.26703931292474
pastis,fourier,22,0.2884300687601679
pastis,fourier,23,0.3117938613811172
pastis,fourier,24,0.3364238463016015
pastis,fourier,25,0.3632477855257206
pastis,fourier,26,0.3924013982209159
pastis,fourier,27,0.423801957829286
pastis,fourier,28,0.4577485801461081
pastis,fourier,29,0.4939090725173727
pastis,fourier,30,0.5338707231330155
pastis,fourier,31,0.5766817285915549
pastis,fourier,32,0.622862825390853
pastis,fourier,33,0.6714939803286939
pastis,wavelet,2,0.1423012784880489
pastis,wavelet,3,0.166018158236057
pastis,wavelet,4,0.1992217898832685
pastis,wavelet,5,0.2490272373540856
pastis,wavelet,6,0.3320363164721141
pastis,wavelet,7,0.4980544747081712
pastis,wavelet,8,0.9961089494163424
spaceNet,fourier,2,0.009810239953229093
spaceNet,fourier,3,0.011963944335740457
spaceNet,fourier,4,0.014334909171790906
spaceNet,fourier,5,0.017005831512021598
spaceNet,fourier,6,0.020838947805001656
spaceNet,fourier,7,0.025045247854606066
spaceNet,fourier,8,0.03019118304745738
spaceNet,fourier,9,0.036441315456210294
spaceNet,fourier,10,0.043881216468178504
spaceNet,fourier,11,0.05278887697342653
spaceNet,fourier,12,0.0635896009251625
spaceNet,fourier,13,0.07653053435381563
spaceNet,fourier,14,0.09223469188359401
spaceNet,fourier,15,0.11097221500712912
spaceNet,fourier,16,0.13352156286374078
spaceNet,fourier,17,0.16088071818650104
spaceNet,fourier,18,0.19371765863163365
spaceNet,fourier,19,0.23325661473717102
spaceNet,fourier,20,0.28078053956418875
spaceNet,fourier,21,0.3380548871560222
spaceNet,fourier,22,0.40703060633670884
spaceNet,fourier,23,0.49005392202822057
spaceNet,fourier,24,0.5900717370021368
spaceNet,wavelet,2,0.1245136186770428
spaceNet,wavelet,3,0.1423012784880489
spaceNet,wavelet,4,0.16601815823605706
spaceNet,wavelet,5,0.1992217898832685
spaceNet,wavelet,6,0.2490272373540856
spaceNet,wavelet,7,0.3320363164721141
spaceNet,wavelet,8,0.4980544747081712
spaceNet,wavelet,9,0.9961089494163424
