layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,initial_r,initial_eta,total_samples,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,803.4738915767241,751.3789238252615,857.0285276556816,0.0949958151995837,-0.0973116823063754,0.2997535367081866,0.42,5.7,3180.0,0.0180689502674165,0.0240303354829301,0.0603464121561223,0.26,0.42,5.68,0.017541839654943915,6034
3,275.2701919978752,264.5901666603167,286.2886897086788,0.3744034782467729,0.2192213484449195,0.5460580400983893,0.51,7.3,12720.0,0.0046148019531871,0.0120285145061138,0.0370116468567985,0.29,0.509,7.22,0.004263272672758722,96592
4,80.84772778375272,77.04618631586663,84.70615414988869,1.357251043392206,1.030758918825306,1.8553569137488408,0.44,1.4,50880.0,0.0062703615061079,0.0060175634983601,0.0233190867788937,0.34,0.436,1.31,0.00531526560055795,64395
5,19.88230515098137,18.762781343385896,21.05614985562436,3.074957053632871,2.230656897496996,5.079245246997636,0.47,0.2,203520.0,0.0052358200565705,0.0030096044936828,0.0056530692911349,0.44,0.462,0.13,0.003906056663921298,122248
6,4.187364553076183,3.884993289445004,4.5871605926200925,7.592764224378456,3.861297385909153,29.02865885632808,0.5,-0.6,814080.0,0.007521669682709,0.0015050074551751,0.0205070641290542,0.74,0.52,-0.58,0.003109999999999058,193185
7,0.8192845024504771,0.7473533768499553,0.9160540329754048,13.123555022135871,6.05041073157494,48.18221392473739,1.0,-0.9,3256320.0,0.0114808177023315,0.0007525549699048,0.0822836280982773,6.1,0.91,-0.92,0.008432433497601588,25440
8,0.1367438340943053,0.1174314706124849,0.2117462508126412,172.66156824758897,8.088639881912263,756.9424737418955,0.7,-1.3,13025280.0,0.0281399999999981,0.0003762902880576,0.2273512792042799,6.0,0.7,-1.26,0.03554324514215251,1507
