layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,3180.0,0.42,5.7,0.0180689502674165,0.4209,5.738,0.01745594298196202,6034
3,12720.0,0.51,7.3,0.0046148019531871,0.4921,6.186,0.003872991416462579,122248
4,50880.0,0.44,1.4,0.0062703615061079,0.4353,1.298,0.005274590798061252,64395
5,203520.0,0.47,0.2,0.0052358200565705,0.46001,0.11583,0.0037420454191549046,128790
6,814080.0,0.51,-0.6,0.004349237335685,0.52,-0.58,0.003109999999999058,193185
7,3256320.0,0.97,-0.9,0.0104127842887138,0.91,-0.92,0.008432433497601588,25440
8,13025280.0,1.44,-1.2,0.0515196286692787,0.7,-1.26,0.03554324514215251,1507
