band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,188702370.0,182617675.52,194951902.08,5.769590850637412,4.866097355425465,6.792126674308851,47614.0,0.16,1.6,0.0139003616225953,0.0062204080553092,0.0469784027656608,0.13,0.16,1.55,0.0120622729661864,0.16,1.55,0.0120622729661864,13390,50.0,0.48386,0.0,50.0,0.473514,0.0,50.0,0.459879,0.0,1.9054e-06
5,69923600.0,68054161.32,71842503.95999998,8.911054504209602,7.558330595395492,10.575382985591498,102030.0,0.16,1.1,0.0146591814686666,0.0042501094782857,0.0546676602407194,0.14,0.159,1.0,0.0128992569626543,0.159,1.0,0.0128992569626543,10759,50.0,0.473428,0.0,50.0,0.46124,0.0,50.0,0.446442,0.0,3.5553e-15
8,20197050.0,19628340.85,20805737.25,10.60368928381128,7.9452385925906,15.522001094489962,326496.0,0.17,1.1,0.0112189428404066,0.0023762874939549,0.0707940668526911,0.14,0.169,1.04,0.0107948422526645,0.169,1.04,0.0107948422526645,15304,50.0,0.459952,0.0,50.0,0.442455,0.0,50.0,0.42454,0.0,1.7808000000000004e-33
11,5333559.0,5193813.045,5478256.129999999,9.182022083467132,7.507997274337423,11.4383845462192,904666.0,0.17,0.6,0.008976069256636,0.0014276807376072,0.0519199997534606,0.15,0.17,0.6,0.0089760692566359,0.17,0.6,0.0089760692566359,23851,50.0,0.438881,0.0,50.0,0.414396,0.0,50.0,0.393588,0.0,9.7035e-64
14,1659426.8,1612947.58375,1708810.0475,10.649115914015274,7.7420170768268575,15.256872174076104,2727602.0,0.18,0.6,0.0108650464733779,0.0008222587962986,0.0397471290624048,0.16,0.18,0.55,0.0087075859242881,0.18,0.55,0.0087075859242881,23971,50.0,0.405775,0.0,50.0,0.372632,0.0,50.0,0.349735,0.0,4.6084999999999974e-180
17,407804.0,390546.4290625,431939.78921875,34.724664826286364,9.06517934175183,95.04978609541726,8298440.0,0.19,0.4,0.0089292632754133,0.0004714271372994,0.0412934477420179,0.18,0.192,0.48,0.005651773737531,0.192,0.48,0.005651773737531,58410,50.0,0.348523,0.0,50.0,0.306072,0.0,50.0,0.282141,0.0,1.1472e-230
20,68779.05,62251.62486328125,81270.05589843748,315.7858806386263,9.981532505820576,819.4386401992487,25140192.0,0.23,1.0,0.0038909929090316,0.0002708547073073,0.0373626904784621,0.2,0.228,0.91,0.0022923517008031,0.228,0.91,0.0022923517008031,353929,50.0,0.232959,0.0,50.0,0.186329,0.0,50.0,0.16197,0.0,3.5668999999999984e-115
23,16060.07,15409.8797265625,17093.326210937495,39.69077820460998,5.678057355723203,119.66832443401844,65734528.0,0.26,1.3,0.002231500731237,0.0001675050733668,0.0288725057628419,0.21,0.259,1.27,0.0021092743511542,0.259,1.27,0.0021092743511542,433306,50.0,0.129847,0.0,50.0,0.0878933,0.0,50.0,0.0619211,0.0,1.8916999999999997e-254
