band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,47614.0,0.16,1.6,0.0139003616225953,0.16,1.55,0.01206227296618645,13390
5,102030.0,0.16,1.1,0.0146591814686666,0.159,1.0,0.012899256962654315,10759
8,326496.0,0.17,1.1,0.0112189428404066,0.169,1.04,0.010794842252664583,15304
11,904666.0,0.17,0.6,0.008976069256636,0.17,0.6,0.008976069256635966,23851
14,2727602.0,0.18,0.6,0.0108650464733779,0.18,0.55,0.008707585924288108,23971
17,8298440.0,0.19,0.4,0.0089292632754133,0.192,0.48,0.005651773737531007,58410
20,25140192.0,0.23,1.0,0.0038909929090316,0.228,0.91,0.002292351700803108,353929
23,65734528.0,0.26,1.3,0.002231500731237,0.259,1.27,0.0021092743511542666,433306
