band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.0,0.0124725442900713,0.161,1.1,0.00836185209756582,25312
5,117000.0,0.17,1.3,0.0122256845354905,0.168,1.21,0.009434405367160892,21937
8,189000.0,0.17,1.0,0.0114836308648222,0.17,0.97,0.005885634407552742,53155
11,495000.0,0.18,1.2,0.005724590920087,0.178,1.12,0.004567126417503897,92812
14,1134000.0,0.18,0.9,0.0044867209500744,0.182,0.99,0.002741343689594,239202
17,2574000.0,0.19,1.0,0.0087687472361829,0.187,0.92,0.00254809619690302,271476
20,5967000.0,0.2,1.2,0.0089764916425212,0.198,1.1,0.00778755952812003,29497
23,13887000.0,0.2,0.7,0.0111480130187466,0.198,0.61,0.007246876526787904,34326
26,31968000.0,0.2,0.1,0.0120223262540711,0.198,0.03,0.006817432924298483,39508
29,73701000.0,0.23,-0.1,0.0178025735248579,0.222,-0.2,0.012367073291942643,12154
32,59634000.0,0.27,-0.2,0.0163810020615299,0.268,-0.19,0.01236908218678437,12282
