band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,299433540.0,176021650.0,509867200.0,473.18463,99.004295,1019.8701,45000.0,0.16,1.0,0.0124725442900713,0.0063984224173442,0.0486095708021242,0.14,0.161,1.1,0.00836185209756582,0.161,1.1,0.00836185209756582,25312
5,198747680.0,95721400.0,705940800.0,2945.4336,101.46221,5367.835,117000.0,0.17,1.3,0.0122256845354905,0.0039690102483117,0.0410488142816816,0.14,0.168,1.21,0.009434405367160892,0.168,1.21,0.009434405367160892,21937
8,63282876.0,35168240.0,138684860.0,918.95044,93.30223,2766.5867,189000.0,0.17,1.0,0.0114836308648222,0.0031230403979095,0.0492708122902612,0.15,0.17,0.97,0.005885634407552742,0.17,0.97,0.005885634407552742,53155
11,36580880.0,14818527.0,157144930.0,6517.1216,80.00292,6412.924,495000.0,0.18,1.2,0.005724590920087,0.0019299803152697,0.0331043299783438,0.15,0.178,1.12,0.004567126417503897,0.178,1.12,0.004567126417503897,92812
14,11849475.0,6202577.0,33266018.0,1856.4797,73.76143,4089.5234,1134000.0,0.18,0.9,0.0044867209500744,0.0012751894232635,0.0465316408892203,0.16,0.182,0.99,0.002741343689594,0.182,0.99,0.002741343689594,239202
17,7712681.0,2964767.0,45472430.0,9698.964,65.2629,7472.824,2574000.0,0.19,1.0,0.0087687472361829,0.0008464353782179,0.0322036715360034,0.16,0.187,0.92,0.00254809619690302,0.187,0.92,0.00254809619690302,271476
20,4424362.0,1713361.5,23424660.0,8663.62,69.64134,7133.971,5967000.0,0.2,1.2,0.0089764916425212,0.0005559445407404,0.0313015444035308,0.17,0.198,1.1,0.00778755952812003,0.198,1.1,0.00778755952812003,29497
23,1867623.2,631701.8,12418033.0,16824.38,62.361816,8305.875,13887000.0,0.2,0.7,0.0111480130187466,0.0003644288842482,0.024805973797815,0.18,0.198,0.61,0.007246876526787904,0.198,0.61,0.007246876526787904,34326
26,1038924.0,167176.88,10466013.0,32372.2,72.455315,9320.126,31968000.0,0.2,0.1,0.0120223262540711,0.0002401951053511,0.0199105421925506,0.2,0.198,0.03,0.006817432924298483,0.198,0.03,0.006817432924298483,39508
29,162784.4,20920.498,1356969.1,37523.438,88.50855,9488.237,73701000.0,0.23,-0.1,0.0178025735248579,0.0001581934199511,0.0274072440218475,0.24,0.222,-0.2,0.012367073291942643,0.222,-0.2,0.012367073291942643,12154
32,4012.389,2159.656,11355.242,1880.4244,83.458115,4042.0374,59634000.0,0.27,-0.2,0.0163810020615299,0.0001758642001808,0.0195380321605367,0.28,0.268,-0.19,0.01236908218678437,0.268,-0.19,0.01236908218678437,12282
