band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.28,6.2,0.0047078354653407,0.0076105772670922,0.0513851408465725,0.18,0.28,6.22,0.003787358999713,0.28,6.22,0.003787358999713,135831,368.614,0.0142825,4.59462e-06,326.037,0.0173155,1.0327e-08,265.128,0.0212819,6.07511e-13,0.75021587
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,0.29,6.1,0.0032607125633117,0.0066754871311422,0.068551261943214,0.18,0.29,6.09,0.0032096159684961,0.29,6.09,0.0032096159684961,176580,275.212,0.0118318,1.86524e-05,243.635,0.0194628,4.92666e-14,197.356,0.0217118,2.3238e-17,0.78672139
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.3,5.9,0.003498429501113,0.0052529256547175,0.0482499424979918,0.19,0.301,5.99,0.003302038358849,0.301,5.99,0.003302038358849,169036,204.569,0.0117639,1.86302e-08,182.427,0.0203769,1.6163100000000002e-24,147.053,0.0217664,6.46898e-28,0.45933639
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.32,6.6,0.0024971549915778,0.0041907897336608,0.0503175793869681,0.2,0.32,6.64,0.0022418420752871,0.32,6.64,0.0022418420752871,354172,155.629,0.0114168,2.61004e-12,137.351,0.0194927,4.558230000000001e-35,110.478,0.0213649,4.83729e-42,0.66637259
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.33,6.2,0.0034410852796342,0.003371320732074,0.0585154138441529,0.21,0.331,6.25,0.0024085588972052,0.331,6.25,0.0024085588972052,307887,115.688,0.0115486,3.2329500000000003e-19,102.936,0.0198047,1.0927899999999998e-55,83.1718,0.0217383,5.2511699999999994e-67,0.30311429
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.34,5.6,0.0023057867856573,0.0026752851133031,0.0559188830461623,0.21,0.339,5.55,0.0012450483049053,0.339,5.55,0.0012450483049053,1237777,86.9401,0.0119101,3.6327700000000004e-32,76.3775,0.0176186,6.9451e-70,61.6915,0.0204631,3.996039999999998e-94,0.81897142
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.34,4.2,0.0026060886476839,0.0021980660924352,0.0509467254750183,0.23,0.341,4.24,0.0020031893552042,0.341,4.24,0.0020031893552042,482962,61.8336,0.0119724,6.11039e-48,54.4795,0.0175423,1.9501799999999986e-102,43.8128,0.0203035,4.435209999999998e-137,0.09340267
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.37,4.5,0.0014687238644262,0.0017377962858799,0.0357598894040207,0.24,0.368,4.4,0.0013508789134137,0.368,4.4,0.0013508789134137,1030320,42.5356,0.0123992,5.785339999999997e-82,37.604,0.0179533,2.231289999999999e-171,30.3013,0.0203484,4.89493e-220,0.21494134
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.39,3.7,0.0018814948233552,0.0013765848003003,0.0321136456581778,0.26,0.392,3.78,0.0011280463553818,0.392,3.78,0.0011280463553818,1459620,26.9973,0.0129191,1.676709999999999e-141,23.8045,0.0172018,1.5185e-250,19.1932,0.0193738,,0.16785349
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.43,3.1,0.0015853747958501,0.0011572531101864,0.0306632238123686,0.29,0.427,3.0,0.0014873511952644,0.427,3.0,0.0014873511952644,871344,15.3828,0.0132657,6.721219999999998e-211,13.5317,0.0169395,0.0,10.9377,0.0188228,0.0,0.0045165125
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.6,3.4,0.001457163400748,0.0020957932105484,0.0273323843690809,0.38,0.596,3.3,0.0013348935401958,0.596,3.3,0.0013348935401958,1062517,5.58052,0.0107921,6.7952399999999994e-43,4.93339,0.0193475,6.388289999999997e-137,3.98575,0.0219583,3.0087499999999985e-176,0.44264448
