band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,31800.0,0.28,6.2,0.0047078354653407,0.28,6.22,0.003787358999713053,135831
5,41340.0,0.29,6.1,0.0032607125633117,0.29,6.09,0.0032096159684961156,176580
8,66780.0,0.3,5.9,0.003498429501113,0.301,5.99,0.003302038358849013,169036
11,104940.0,0.32,6.6,0.0024971549915778,0.32,6.64,0.0022418420752871593,354172
14,162180.0,0.33,6.2,0.0034410852796342,0.331,6.25,0.0024085588972052596,307887
17,257580.0,0.34,5.6,0.0023057867856573,0.339,5.55,0.0012450483049053496,1237777
20,381600.0,0.34,4.2,0.0026060886476839,0.341,4.24,0.002003189355204299,482962
23,610560.0,0.37,4.5,0.0014687238644262,0.368,4.4,0.0013508789134137333,1030320
26,973080.0,0.39,3.7,0.0018814948233552,0.392,3.78,0.0011280463553818842,1459620
29,1376940.0,0.43,3.1,0.0015853747958501,0.427,3.0,0.0014873511952644136,871344
32,419760.0,0.6,3.4,0.001457163400748,0.596,3.3,0.0013348935401958917,1062517
