band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.28,6.2,0.0047078354653407,0.0076105772670922,0.05138514084657253,0.18
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,0.29,6.1,0.0032607125633117,0.0066754871311422,0.06855126194321404,0.18
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.3,5.9,0.003498429501113,0.0052529256547175,0.04824994249799186,0.19
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.32,6.6,0.0024971549915778,0.0041907897336608,0.050317579386968125,0.2
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.33,6.2,0.0034410852796342,0.003371320732074,0.05851541384415293,0.21
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.34,5.6,0.0023057867856573,0.0026752851133031,0.055918883046162327,0.21
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.34,4.2,0.0026060886476839,0.0021980660924352,0.05094672547501833,0.23
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.37,4.5,0.0014687238644262,0.0017377962858799,0.03575988940402075,0.24
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.39,3.7,0.0018814948233552,0.0013765848003003,0.03211364565817787,0.26
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.43,3.1,0.0015853747958501,0.0011572531101864,0.030663223812368634,0.29
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.6,3.4,0.001457163400748,0.0020957932105484,0.027332384369080975,0.38
