layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0
2,18678.61009540066,17502.571767716574,19935.387685228103,4.316036542628275,2.885068013664152,6.460765704246741,27208.0,0.21,0.0,0.0209023041009651,0.0082273201196278,0.0209023041009651,0.21
3,5005.06364996813,4561.659296750395,5522.762989962587,11.797886323503205,6.4782328073269415,25.2838619099342,108832.0,0.12,-1.2,0.1324399999999998,0.0041152012481055,0.13244368354341712,0.29
4,1581.178009970149,1451.1087576131404,1726.0368154589946,9.157593274899822,6.19527971917074,16.083120008015417,333298.0,0.2,-0.9,0.0770699999999998,0.0023519198649528,0.08682590327002843,0.3
5,447.8472149452864,409.9537628342399,492.3836544380043,10.530339652417291,6.367764656880605,30.65077328725258,1149538.0,0.17,-1.1,0.0421574155329103,0.0012665428950382,0.0739393254382319,0.34
6,107.2819742478466,98.07625316708592,117.78087573767922,10.589933367133083,6.834965131409838,22.54084931435309,4251250.0,0.22,-1.0,0.0236604536151521,0.000658638529926,0.05817873269986057,0.41
7,23.563499987013888,21.1394306284046,26.70471204274709,18.38757785188397,9.488700530268051,58.68646676791249,17005000.0,0.28,-1.0,0.0185749443461913,0.000329329071013,0.06456221237571025,0.6
8,5.003841156583901,4.364752145295115,6.037874776791008,36.42039154944765,13.38437627703224,160.10779681529763,68020000.0,0.43,-1.0,0.0124702158231259,0.0001646669863926,0.06500230643541605,1.57
9,0.9259197770065432,0.7785173087401649,1.293757558214592,103.43257167463028,15.22341511855983,467.5247914661489,272080000.0,1.1,-1.01,0.0160243965481804,8.233410583957582e-05,0.12187676672054204,6.1
