band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,identifier
2,210803701.223256,203931381.25156832,217780641.6075749,5.9381526863650524,5.0644116143876845,6.961089657515133,47614.0,0.16,1.6,0.0134767473688152,0.0062204080553092,0.0427161770828604,0.13,0.159,1.51,0.012798011656144,0.159,1.51,0.012798011656144,11903,10620.5,0.0345215,9.809909999999998e-50,8891.14,0.0130304,1.8835e-07,7462.83,0.0172358,1.02152e-12,3.3364e-07,gray
5,84666648.4553655,82277141.10685883,87140324.7722664,10.238720627383566,8.741003023144815,12.021282406406543,102030.0,0.16,1.1,0.0137606542944152,0.0042501094782857,0.063720287438006,0.14,0.159,1.04,0.0135443845057538,0.159,1.04,0.0135443845057538,9564,6275.79,0.0382549,3.5898899999999984e-130,5253.4,0.0152079,6.296090000000001e-21,4357.11,0.0184004,1.94221e-30,1.0933e-16,gray
8,24417996.54100348,23723452.53343505,25141267.401122984,10.654582350496538,8.485844925674453,14.08020182866054,326496.0,0.17,1.2,0.013523619843459,0.0023762874939549,0.060900305410571,0.14,0.17,1.14,0.0122607239779962,0.17,1.14,0.0122607239779962,12912,3324.47,0.0380982,0.0,2835.02,0.013518,2.96963e-52,2302.66,0.0162805,1.3330999999999998e-75,4.6259e-43,gray
11,6095848.103341284,5934529.280145222,6261906.3055011565,9.481828182725511,7.939620945687467,11.507580730370494,904666.0,0.17,0.6,0.0123290569269471,0.0014276807376072,0.0456915912326082,0.15,0.168,0.53,0.0103258562007576,0.168,0.53,0.0103258562007576,17887,1663.76,0.0384879,0.0,1425.2,0.0137818,1.0983299999999998e-149,1146.03,0.0164498,4.506959999999999e-213,3.260699999999998e-84,gray
14,1795078.6425420318,1744169.3597044551,1849944.8061378296,11.12309342952802,8.074007753599941,16.06377813525658,2727602.0,0.18,0.6,0.0113105127020664,0.0008222587962986,0.0369226103200416,0.16,0.18,0.55,0.0092794316260044,0.18,0.55,0.0092794316260044,21309,875.199,0.0411273,0.0,766.911,0.0145758,0.0,601.775,0.0172015,0.0,1.9707999999999996e-204,gray
17,441578.1911981668,422483.1307718425,468700.861738554,38.040094026682574,9.508811071857844,106.76554737011628,8298440.0,0.19,0.4,0.0090515439784369,0.0004714271372994,0.0414121523791248,0.18,0.19,0.42,0.0053147988667717,0.19,0.42,0.0053147988667717,64831,428.413,0.0400881,0.0,378.102,0.0132103,0.0,295.803,0.0156918,0.0,4.9700999999999994e-204,gray
20,73193.04877580097,67237.39849039433,83947.5872793142,212.9470039151084,10.3710024206935,573.6532267019455,25140192.0,0.23,1.0,0.0047507036768751,0.0002708547073073,0.0372412490552476,0.2,0.227,0.9,0.0036525907902837,0.227,0.9,0.0036525907902837,139822,174.73,0.0368696,0.0,154.155,0.0108809,0.0,122.931,0.00976702,0.0,9.335899999999998e-292,gray
23,17417.81822529807,16711.22319509401,18509.5935005562,38.07674364086107,6.192982543079737,112.3672623125434,65734528.0,0.26,1.3,0.005127994944682,0.0001675050733668,0.025837480168651,0.21,0.257,1.22,0.0033468596354605,0.257,1.22,0.0033468596354605,162489,96.1868,0.0308777,0.0,83.447,0.00663716,0.0,68.1502,0.00512683,0.0,0.0,gray
2,188702370.0,182617675.52,194951902.08,5.769590850637412,4.866097355425465,6.792126674308851,47614.0,0.16,1.6,0.0139003616225953,0.0062204080553092,0.0469784027656608,0.13,0.16,1.55,0.0120622729661864,0.16,1.55,0.0120622729661864,13390,10095.6,0.0354859,1.57635e-52,8515.04,0.0120746,1.85218e-06,7177.41,0.0171664,1.28239e-12,1.9054e-06,red
5,69923600.0,68054161.32,71842503.95999998,8.911054504209602,7.558330595395492,10.575382985591498,102030.0,0.16,1.1,0.0146591814686666,0.0042501094782857,0.0546676602407194,0.14,0.159,1.0,0.0128992569626543,0.159,1.0,0.0128992569626543,10759,5825.9,0.0377599,7.797849999999996e-127,4883.87,0.0147854,8.362540000000001e-20,4067.84,0.0191969,4.302820000000001e-33,3.5553e-15,red
