band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,identifier
8,20197050.0,19628340.85,20805737.25,10.60368928381128,7.9452385925906,15.522001094489962,326496.0,0.17,1.1,0.0112189428404066,0.0023762874939549,0.0707940668526911,0.14,0.169,1.04,0.0107948422526645,0.169,1.04,0.0107948422526645,15304,3099.06,0.036875,0.0,2624.45,0.0126841,4.67576e-46,2151.35,0.0161368,2.7933699999999995e-74,1.7808000000000004e-33,red
11,5333559.0,5193813.045,5478256.129999999,9.182022083467132,7.507997274337423,11.4383845462192,904666.0,0.17,0.6,0.008976069256636,0.0014276807376072,0.0519199997534606,0.15,0.17,0.6,0.0089760692566359,0.17,0.6,0.0089760692566359,23851,1596.47,0.0369879,0.0,1359.61,0.0123632,1.539899999999999e-120,1103.7,0.0157176,1.4579499999999994e-194,9.703500000000001e-64,red
14,1659426.8,1612947.58375,1708810.0475,10.649115914015274,7.7420170768268575,15.256872174076104,2727602.0,0.18,0.6,0.0108650464733779,0.0008222587962986,0.0397471290624048,0.16,0.18,0.55,0.0087075859242881,0.18,0.55,0.0087075859242881,23971,862.609,0.0395864,0.0,748.763,0.0135623,0.0,594.199,0.0165233,0.0,4.6084999999999974e-180,red
17,407804.0,390546.4290625,431939.78921875,34.724664826286364,9.06517934175183,95.04978609541726,8298440.0,0.19,0.4,0.0089292632754133,0.0004714271372994,0.0412934477420179,0.18,0.192,0.48,0.005651773737531,0.192,0.48,0.005651773737531,58410,423.247,0.0384189,0.0,370.827,0.0118434,0.0,292.824,0.0149784,0.0,1.1472e-230,red
20,68779.05,62251.62486328125,81270.05589843748,315.7858806386263,9.981532505820576,819.4386401992487,25140192.0,0.23,1.0,0.0038909929090316,0.0002708547073073,0.0373626904784621,0.2,0.228,0.91,0.0022923517008031,0.228,0.91,0.0022923517008031,353929,172.687,0.035129,0.0,152.153,0.00905773,0.0,121.947,0.0088614,0.0,3.566899999999999e-115,red
23,16060.07,15409.8797265625,17093.326210937495,39.69077820460998,5.678057355723203,119.66832443401844,65734528.0,0.26,1.3,0.002231500731237,0.0001675050733668,0.0288725057628419,0.21,0.259,1.27,0.0021092743511542,0.259,1.27,0.0021092743511542,433306,95.0608,0.0288023,0.0,82.2881,0.00518884,0.0,67.2484,0.0063227,0.0,1.8916999999999997e-254,red
2,186957280.0,180540455.52,193616878.8,6.890561657866604,5.7055540670737575,8.191423181863183,47614.0,0.16,1.6,0.0154439931710561,0.0062204080553092,0.0491292906271717,0.13,0.16,1.53,0.0126345164900742,0.16,1.53,0.0126345164900742,11903,9923.03,0.0350715,2.55666e-51,8332.21,0.0126815,4.42692e-07,6988.05,0.0178128,1.48801e-13,4.958e-07,blue
5,74748400.0,72273407.96,77363761.15999998,15.030488540597908,11.51907554587272,19.477760120992983,102030.0,0.16,1.1,0.0145874322107617,0.0042501094782857,0.0516938237237636,0.14,0.161,1.09,0.0130094803422199,0.161,1.09,0.0130094803422199,10759,5758.34,0.0387782,9.552009999999995e-134,4871.79,0.0145445,3.53698e-19,4006.98,0.0176758,4.03172e-28,1.9849e-15,blue
8,20255970.0,19654420.75,20906548.52,12.860015110935151,9.832646292885144,16.874905865235664,326496.0,0.16,0.6,0.0114053720126273,0.0023762874939549,0.0677735999290154,0.15,0.159,0.54,0.0107490954161013,0.159,0.54,0.0107490954161013,15304,3000.76,0.0386614,0.0,2560.17,0.0139459,1.3791099999999999e-55,2071.9,0.0168431,6.906369999999997e-81,3.3896e-33,blue
11,4711756.0,4575736.3225,4856240.6825,11.616289737816928,8.750675120966875,15.693160608811052,904666.0,0.18,1.0,0.0130804897459513,0.0014276807376072,0.0615465718971292,0.15,0.179,0.91,0.0116684406401252,0.179,0.91,0.0116684406401252,14135,1474.32,0.0376141,0.0,1249.81,0.0136364,1.4915699999999992e-146,1016.12,0.0164988,2.4270799999999995e-214,2.0329999999999988e-107,blue
14,1357398.5,1315806.01375,1403579.045,14.22483866472145,8.318135341214525,24.72062126298686,2727602.0,0.18,0.5,0.0100245870223518,0.0008222587962986,0.0529459246325899,0.17,0.178,0.41,0.0086797262770523,0.178,0.41,0.0086797262770523,23971,773.967,0.0398901,0.0,670.918,0.0138658,0.0,533.401,0.0167876,0.0,6.474399999999998e-179,blue
17,335488.28,319957.35281250003,357915.93999999994,44.881534493152536,10.012839790414452,124.17716690067438,8298440.0,0.2,0.7,0.0097255953910382,0.0004714271372994,0.0259609560080171,0.18,0.199,0.62,0.0067652969565334,0.199,0.62,0.0067652969565334,41023,378.572,0.038914,0.0,331.691,0.0122949,0.0,261.983,0.0154396,0.0,0.0,blue
20,57832.508,51490.24828125,69475.2720312499,406.0704859777607,11.174703555402624,915.5529510474838,25140192.0,0.23,0.9,0.0068757039046131,0.0002708547073073,0.0222181497946895,0.2,0.228,0.8,0.0018182673071805,0.228,0.8,0.0018182673071805,589222,154.766,0.0357226,0.0,136.536,0.00951914,0.0,109.255,0.00937366,0.0,1.2793e-72,blue
23,13386.294,12712.031455078126,14486.743779296874,64.43537620313296,6.781556918998453,164.29596765572663,65734528.0,0.27,1.5,0.0044927991727565,0.0001675050733668,0.0385406195121372,0.22,0.267,1.4,0.0032283464808345,0.267,1.4,0.0032283464808345,182799,85.0871,0.0295344,0.0,73.6498,0.00512842,0.0,60.2651,0.00604277,0.0,0.0,blue
2,236431730.0,228632727.92,244312516.64,6.120174864383072,5.240750162499547,7.251410118254485,47614.0,0.16,1.7,0.0149367782454177,0.0062204080553092,0.0379544898823277,0.13,0.16,1.63,0.0126924176144977,0.16,1.63,0.0126924176144977,11903,11213.7,0.0345749,6.901959999999999e-50,9380.78,0.0126725,4.5242e-07,7854.92,0.0172219,1.06921e-12,4.3116e-07,green
5,98143970.0,95340430.84,101038435.6,10.624524317014195,9.132227482356065,12.351582632227007,102030.0,0.16,1.2,0.014357828040265,0.0042501094782857,0.0719255163973925,0.14,0.16,1.15,0.0130480777866733,0.16,1.15,0.0130480777866733,10759,6708.89,0.0382192,6.268999999999998e-130,5643.11,0.0145736,2.97526e-19,4619.54,0.0180373,2.89127e-29,1.6166e-15,green
8,28320434.0,27510000.76,29149866.86,10.694184322221012,8.717075552886126,13.625494777499368,326496.0,0.16,0.7,0.011441832489231,0.0023762874939549,0.0529937777565461,0.14,0.158,0.6,0.0108658397942682,0.158,0.6,0.0108658397942682,15304,3537.08,0.0387747,0.0,3034.31,0.0138155,1.4667199999999998e-54,2438.24,0.0165964,1.5104299999999998e-78,6.523200000000001e-34,green
11,6876102.5,6692597.4525,7064958.217499999,9.706751489925386,8.207422369351809,11.70096399152742,904666.0,0.18,1.1,0.0123812731138945,0.0014276807376072,0.0398366868494591,0.15,0.179,1.04,0.0119797243226952,0.179,1.04,0.0119797243226952,13414,1737.68,0.0394708,0.0,1504.47,0.014177,2.277729999999999e-158,1195.95,0.0166135,2.5136199999999997e-217,3.3365999999999987e-113,green
14,1975496.8,1918594.059375,2037137.581875,11.606632885470384,8.405230986241165,16.83706114920016,2727602.0,0.18,0.6,0.0106575327444117,0.0008222587962986,0.0326601666803159,0.16,0.179,0.53,0.0090828145157872,0.179,0.53,0.0090828145157872,21309,901.426,0.042106,0.0,794.951,0.0152652,0.0,619.705,0.0175398,0.0,7.049599999999997e-196,green
17,485698.53,464547.80421875,516438.0796875,39.5836608094066,9.85105364703173,112.117836674575,8298440.0,0.2,0.8,0.0092806830777618,0.0004714271372994,0.0444703818414558,0.18,0.2,0.76,0.0070335360297842,0.2,0.76,0.0070335360297842,36466,440.845,0.0411102,0.0,389.513,0.0143538,0.0,304.076,0.0161461,0.0,0.0,green
20,79569.28,73806.0459765625,89593.81269531243,156.66399702423192,10.663837298119825,434.9232446866884,25140192.0,0.22,0.7,0.0056062284413645,0.0002708547073073,0.0400606411124547,0.19,0.219,0.65,0.0027045668426183,0.219,0.65,0.0027045668426183,248575,179.895,0.0379412,0.0,158.807,0.0120372,0.0,126.359,0.0102807,0.0,3.7431999999999985e-160,green
23,19246.125,18486.53328125,20397.26533203124,34.890352245514066,6.525433087144585,102.49310564285264,65734528.0,0.25,1.0,0.0044610368553067,0.0001675050733668,0.0211314813399903,0.21,0.251,1.05,0.0032873849311909,0.251,1.05,0.0032873849311909,162489,99.2943,0.0321205,0.0,86.311,0.00787263,0.0,70.4687,0.00451214,0.0,0.0,green
