band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,47614.0,0.16,1.6,0.0154439931710561,0.16,1.53,0.012634516490074299,11903
5,102030.0,0.16,1.1,0.0145874322107617,0.161,1.09,0.013009480342219937,10759
8,326496.0,0.16,0.6,0.0114053720126273,0.159,0.54,0.010749095416101362,15304
11,904666.0,0.18,1.0,0.0130804897459513,0.179,0.91,0.011668440640125288,14135
14,2727602.0,0.18,0.5,0.0100245870223518,0.178,0.41,0.00867972627705238,23971
17,8298440.0,0.2,0.7,0.0097255953910382,0.199,0.62,0.006765296956533495,41023
20,25140192.0,0.23,0.9,0.0068757039046131,0.228,0.8,0.0018182673071805155,589222
23,65734528.0,0.27,1.5,0.0044927991727565,0.267,1.4,0.0032283464808345874,182799
