band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,530335360.0,219660690.0,1100523300.0,1111.6014,160.29932,2026.3856,45000.0,0.16,1.1,0.0106894520477088,0.0063984224173442,0.0632058909908874,0.14,0.161,1.2,0.004748268659973909,0.161,1.2,0.004748268659973909,85428
5,297439170.0,123446870.0,759215360.0,1769.1471,139.7721,3763.6306,117000.0,0.17,1.4,0.010030807525476,0.0039690102483117,0.0291959185185044,0.14,0.168,1.33,0.007366003715701508,0.168,1.33,0.007366003715701508,32905
8,109459700.0,45162260.0,295450720.0,1933.9198,127.241196,4385.3174,189000.0,0.18,1.7,0.0074998890509281,0.0031230403979095,0.074313775586412,0.15,0.178,1.6,0.005942522694808293,0.178,1.6,0.005942522694808293,53155
11,49555252.0,20203774.0,175797860.0,3438.2383,110.47904,5745.4126,495000.0,0.19,2.1,0.0071446030117464,0.0019299803152697,0.0412899558002149,0.15,0.189,2.04,0.006380214285776287,0.189,2.04,0.006380214285776287,46405
14,24332180.0,9146318.0,109359120.0,6609.7314,73.821175,6718.44,1134000.0,0.19,1.7,0.0053683344688905,0.0012751894232635,0.0465955690139053,0.15,0.188,1.61,0.00362210343538609,0.188,1.61,0.00362210343538609,141750
17,12788395.0,4445173.5,65795436.0,7592.665,61.05317,7330.6924,2574000.0,0.19,1.3,0.0084153874134017,0.0008464353782179,0.0443997762492801,0.16,0.19,1.35,0.0027215348344587897,0.19,1.35,0.0027215348344587897,241312
20,9477941.0,2002387.5,65556148.0,14241.125,70.88103,8650.903,5967000.0,0.19,0.9,0.006651606089863,0.0005559445407404,0.0545682039843944,0.17,0.192,0.97,0.0030398384366229214,0.192,0.97,0.0030398384366229214,209776
23,7354096.5,653834.06,49843964.0,18774.445,70.69868,9387.132,13887000.0,0.21,1.1,0.0092032284572907,0.0003644288842482,0.040929976711142,0.18,0.207,1.02,0.005804659997430135,0.207,1.02,0.005804659997430135,54246
26,5090852.0,180130.83,46200664.0,31646.377,66.42785,9810.706,31968000.0,0.2,0.2,0.0102775703934098,0.0002401951053511,0.0238929220144593,0.19,0.204,0.29,0.006039986274934517,0.204,0.29,0.006039986274934517,52680
29,796480.6,22721.932,6629924.0,29016.428,73.69176,9830.31,73701000.0,0.22,-0.1,0.0105202862942572,0.0001581934199511,0.0167706668833588,0.23,0.225,-0.02,0.008313909282827225,0.225,-0.02,0.008313909282827225,26989
32,75839.234,2518.3906,610236.25,25565.398,70.93466,9801.13,59634000.0,0.28,0.2,0.0103247544480542,0.0001758642001808,0.0209542496178874,0.27,0.281,0.22,0.009532365496663975,0.281,0.22,0.009532365496663975,20727
