band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,45000.0,0.16,1.1,0.0106894520477088,0.161,1.2,0.004748268659973909,85428
5,117000.0,0.17,1.4,0.010030807525476,0.168,1.33,0.007366003715701508,32905
8,189000.0,0.18,1.7,0.0074998890509281,0.178,1.6,0.005942522694808293,53155
11,495000.0,0.19,2.1,0.0071446030117464,0.189,2.04,0.006380214285776287,46405
14,1134000.0,0.19,1.7,0.0053683344688905,0.188,1.61,0.00362210343538609,141750
17,2574000.0,0.19,1.3,0.0084153874134017,0.19,1.35,0.0027215348344587897,241312
20,5967000.0,0.19,0.9,0.006651606089863,0.192,0.97,0.0030398384366229214,209776
23,13887000.0,0.21,1.1,0.0092032284572907,0.207,1.02,0.005804659997430135,54246
26,31968000.0,0.2,0.2,0.0102775703934098,0.204,0.29,0.006039986274934517,52680
29,73701000.0,0.22,-0.1,0.0105202862942572,0.225,-0.02,0.008313909282827225,26989
32,59634000.0,0.28,0.2,0.0103247544480542,0.281,0.22,0.009532365496663975,20727
