band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
2,530335360.0,219660692.48000005,1100523183.36,1111.6014745371208,160.29932235929678,2026.3848893347497,45000.0,0.16,1.1,0.0106894520477088,0.0063984224173442,0.0632058909908874,0.14,0.161,1.2,0.0047482686599739,0.161,1.2,0.0047482686599739,85428,6351.82,0.0428469,3.1801199999999996e-72,5607.73,0.0160503,1.68538e-10,4482.07,0.0144198,1.47652e-08,0.26147531
5,297439170.0,123446874.64,759215189.4400003,1769.1470001225518,139.77209398078318,3763.629551356956,117000.0,0.17,1.4,0.010030807525476,0.0039690102483117,0.0291959185185044,0.14,0.168,1.33,0.0073660037157015,0.168,1.33,0.0073660037157015,32905,4389.61,0.0401777,1.5241999999999993e-164,3894.54,0.0163219,1.66505e-27,3098.39,0.0109974,1.01563e-12,6.0936272e-06
8,109459700.0,45162260.36,295450634.0800001,1933.9198389328044,127.24120304054598,4385.312367583921,189000.0,0.18,1.7,0.0074998890509281,0.0031230403979095,0.074313775586412,0.15,0.178,1.6,0.0059425226948082,0.178,1.6,0.0059425226948082,53155,3044.97,0.0357718,1.4594999999999995e-210,2689.38,0.0119915,4.90672e-24,2165.23,0.00703108,1.52519e-08,3.1774381e-06
11,49555252.0,20203774.65,175797761.68000016,3438.2383525707605,110.4790424062674,5745.409689216156,495000.0,0.19,2.1,0.0071446030117464,0.0019299803152697,0.0412899558002149,0.15,0.189,2.04,0.0063802142857762,0.189,2.04,0.0063802142857762,46405,2296.99,0.0347898,0.0,2020.95,0.0104115,4.90291e-47,1632.83,0.00708476,5.221990000000001e-22,6.265233500000001e-18
14,24332180.0,9146318.46,109359004.4400002,6609.731428492321,73.8211742954717,6718.439099356456,1134000.0,0.19,1.7,0.0053683344688905,0.0012751894232635,0.0465955690139053,0.15,0.188,1.61,0.003622103435386,0.188,1.61,0.003622103435386,141750,1725.98,0.0337121,0.0,1519.15,0.00915923,4.6445499999999976e-83,1228.8,0.00622861,1.2200000000000003e-38,2.3845497e-13
17,12788395.0,4445173.285,65795021.44000068,7592.665051284796,61.05317093271156,7330.691983721256,2574000.0,0.19,1.3,0.0084153874134017,0.0008464353782179,0.0443997762492801,0.16,0.19,1.35,0.0027215348344587,0.19,1.35,0.0027215348344587,241312,1235.78,0.0344072,0.0,1085.6,0.00933959,1.8994599999999993e-195,878.208,0.0069102,3.468409999999998e-107,5.5031510000000003e-17
20,9477941.0,2002387.500625,65556053.60000016,14241.124590893212,70.88102824730677,8650.900818495105,5967000.0,0.19,0.9,0.006651606089863,0.0005559445407404,0.0545682039843944,0.17,0.192,0.97,0.0030398384366229,0.192,0.97,0.0030398384366229,209776,761.983,0.0373846,0.0,670.339,0.0113583,0.0,541.618,0.00904001,0.0,2.5540317999999997e-48
23,7354096.5,653834.0409375001,49843957.040000014,18774.445266954222,70.69867277090944,9387.132235009278,13887000.0,0.21,1.1,0.0092032284572907,0.0003644288842482,0.040929976711142,0.18,0.207,1.02,0.0058046599974301,0.207,1.02,0.0058046599974301,54246,412.141,0.0383229,0.0,362.835,0.0135925,0.0,291.926,0.00851622,0.0,0.0
26,5090852.0,180130.827421875,46200658.580000006,31646.377314276026,66.42785225283144,9810.705735689804,31968000.0,0.2,0.2,0.0102775703934098,0.0002401951053511,0.0238929220144593,0.19,0.204,0.29,0.0060399862749345,0.204,0.29,0.0060399862749345,52680,197.939,0.0447174,0.0,175.236,0.0192631,0.0,139.493,0.014898,0.0,0.0
29,796480.6,22721.93155273437,6629924.0375,29016.42834881238,73.69175430647188,9830.309748607197,73701000.0,0.22,-0.1,0.0105202862942572,0.0001581934199511,0.0167706668833588,0.23,0.225,-0.02,0.0083139092828272,0.225,-0.02,0.0083139092828272,26989,62.8631,0.0504877,0.0,55.7716,0.0253883,0.0,44.2897,0.0200019,0.0,0.0
