band,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,47614.0,0.16,1.7,0.0149367782454177,0.16,1.63,0.012692417614497797,11903
5,102030.0,0.16,1.2,0.014357828040265,0.16,1.15,0.013048077786673384,10759
8,326496.0,0.16,0.7,0.011441832489231,0.158,0.6,0.01086583979426825,15304
11,904666.0,0.18,1.1,0.0123812731138945,0.179,1.04,0.011979724322695229,13414
14,2727602.0,0.18,0.6,0.0106575327444117,0.179,0.53,0.009082814515787296,21309
17,8298440.0,0.2,0.8,0.0092806830777618,0.2,0.76,0.007033536029784293,36466
20,25140192.0,0.22,0.7,0.0056062284413645,0.219,0.65,0.0027045668426183556,248575
23,65734528.0,0.25,1.0,0.0044610368553067,0.251,1.05,0.003287384931190962,162489
