band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_eta0,best_r_eta0,best_r,best_eta,kstest_stat_best,iter1_r,iter1_eta,kstest_stat_iter1,n_pval_0.05
2,236431730.0,228632727.92,244312516.64,6.120174864383072,5.240750162499547,7.251410118254485,47614.0,0.16,1.7,0.0149367782454177,0.0062204080553092,0.0379544898823277,0.13,0.16,1.63,0.012692417614497797,0.16,1.63,0.012692417614497797,11903
5,98143970.0,95340430.84,101038435.6,10.624524317014195,9.132227482356065,12.351582632227007,102030.0,0.16,1.2,0.014357828040265,0.0042501094782857,0.0719255163973925,0.14,0.16,1.15,0.013048077786673384,0.16,1.15,0.013048077786673384,10759
8,28320434.0,27510000.76,29149866.86,10.694184322221012,8.717075552886126,13.625494777499368,326496.0,0.16,0.7,0.011441832489231,0.0023762874939549,0.0529937777565461,0.14,0.158,0.6,0.01086583979426825,0.158,0.6,0.01086583979426825,15304
11,6876102.5,6692597.4525,7064958.217499999,9.706751489925386,8.207422369351809,11.70096399152742,904666.0,0.18,1.1,0.0123812731138945,0.0014276807376072,0.0398366868494591,0.15,0.179,1.04,0.011979724322695229,0.179,1.04,0.011979724322695229,13414
14,1975496.8,1918594.059375,2037137.581875,11.606632885470384,8.405230986241165,16.83706114920016,2727602.0,0.18,0.6,0.0106575327444117,0.0008222587962986,0.0326601666803159,0.16,0.179,0.53,0.009082814515787296,0.179,0.53,0.009082814515787296,21309
17,485698.53,464547.80421875,516438.0796875,39.5836608094066,9.85105364703173,112.117836674575,8298440.0,0.2,0.8,0.0092806830777618,0.0004714271372994,0.0444703818414558,0.18,0.2,0.76,0.007033536029784293,0.2,0.76,0.007033536029784293,36466
20,79569.28,73806.0459765625,89593.81269531243,156.66399702423192,10.663837298119825,434.9232446866884,25140192.0,0.22,0.7,0.0056062284413645,0.0002708547073073,0.0400606411124547,0.19,0.219,0.65,0.0027045668426183556,0.219,0.65,0.0027045668426183556,248575
23,19246.125,18486.53328125,20397.26533203124,34.890352245514066,6.525433087144585,102.49310564285264,65734528.0,0.25,1.0,0.0044610368553067,0.0001675050733668,0.0211314813399903,0.21,0.251,1.05,0.003287384931190962,0.251,1.05,0.003287384931190962,162489
