layer,total_samples,initial_r,initial_eta,kstest_stat_initial,best_r,best_eta,kstest_stat_best,n_pval_0.05
2,9000.0,0.22,0.4,0.0227213846331105,0.224,0.48,0.018825161247511824,5062
3,36000.0,0.22,-0.2,0.0117492420128741,0.225,-0.13,0.009672335968329414,20250
4,144000.0,0.25,-0.3,0.0119900558630318,0.249,-0.29,0.009849328333758567,19219
5,576000.0,0.3,-0.23,0.0099628437502446,0.3,-0.223,0.009768646313122131,20250
6,2304000.0,0.36,-0.2,0.0074619396524325,0.355,-0.24,0.00696394585120208,38442
7,9216000.0,0.44,-0.2,0.0061280775595861,0.43,-0.25,0.005345798056961892,68343
8,36864000.0,0.46,-0.5,0.0059400215813331,0.469,-0.47,0.0047533526822258355,81000
9,147456000.0,0.6,-0.72,0.0081138252169169,0.6,-0.717,0.008019077193107058,30375
10,589824000.0,4.0,-1.07,0.021729577127071,3.1,-1.067,0.021386669895385513,4050
